Rank,Release Group,Worldwide,Domestic,%,Foreign,%
201,Pootie Tang,"$3,313,583","$3,313,583",100%,-,-
202,Waking Life,"$3,176,880","$2,901,447",91.3%,"$275,433",8.7%
203,Songcatcher,"$3,171,273","$3,059,834",96.5%,"$111,439",3.5%
204,Innocence,"$3,026,796","$2,202,382",72.8%,"$824,414",27.2%
205,Donnie Darko,"$2,962,988","$517,375",17.5%,"$2,445,613",82.5%
206,Intimacy,"$2,672,527","$405,094",15.2%,"$2,267,433",84.8%
207,Lucky Break,"$2,559,317","$54,606",2.1%,"$2,504,711",97.9%
208,Novocaine,"$2,534,372","$2,036,682",80.4%,"$497,690",19.6%
209,The Endurance,"$2,453,083","$2,453,083",100%,-,-
210,Dark Blue World,"$2,381,183","$258,771",10.9%,"$2,122,412",89.1%
211,High Heels and Low Lifes,"$2,340,411","$228,194",9.8%,"$2,112,217",90.2%
212,Gabriela,"$2,335,352","$2,335,352",100%,-,-
213,Escanaba in da Moonlight,"$2,276,602","$2,276,602",100%,-,-
214,Va Savoir (Who Knows?),"$1,989,779","$907,323",45.6%,"$1,082,456",54.4%
215,Greenfingers,"$1,961,054","$1,443,067",73.6%,"$517,987",26.4%
216,God Is Great and I'm Not,"$1,952,817","$73,181",3.7%,"$1,879,636",96.3%
217,Liam,"$1,945,689","$1,016,021",52.2%,"$929,668",47.8%
218,Monty Python and the Holy Grail 2001 Re-release,"$1,935,066","$1,827,696",94.5%,"$107,370",5.5%
219,Late Marriage,"$1,868,298","$1,656,445",88.7%,"$211,853",11.3%
220,The Luzhin Defence,"$1,864,747","$1,053,070",56.5%,"$811,677",43.5%
221,Startup.com,"$1,830,008","$1,283,356",70.1%,"$546,652",29.9%
222,NSync: Bigger Than Live,"$1,808,679","$1,808,679",100%,-,-
223,How I Killed My Father,"$1,802,142","$145,396",8.1%,"$1,656,746",91.9%
224,Carman: The Champion,"$1,765,751","$1,765,751",100%,-,-
225,The Debut,"$1,745,778","$1,745,778",100%,-,-
226,Elling,"$1,727,470","$314,729",18.2%,"$1,412,741",81.8%
227,L.I.E.,"$1,667,192","$1,138,836",68.3%,"$528,356",31.7%
228,Session 9,"$1,612,259","$378,176",23.5%,"$1,234,083",76.5%
229,Lagaan: Once Upon a Time in India,"$1,546,734","$835,767",54%,"$710,967",46%
230,Divided We Fall 2001 Re-release,"$1,544,317","$1,332,586",86.3%,"$211,731",13.7%
231,The Center of the World,"$1,460,687","$1,101,344",75.4%,"$359,343",24.6%
232,The Bank,"$1,360,012","$88,414",6.5%,"$1,271,598",93.5%
233,Ashoka the Great,"$1,340,718","$731,277",54.5%,"$609,441",45.5%
234,Storytelling,"$1,318,945","$921,445",69.9%,"$397,500",30.1%
235,Yamakasi,"$1,297,401","$184,441",14.2%,"$1,112,960",85.8%
236,The Business of Strangers,"$1,287,598","$1,030,920",80.1%,"$256,678",19.9%
237,The Believer,"$1,274,112","$416,925",32.7%,"$857,187",67.3%
238,Nuit de noces,"$1,238,180","$1,238,180",100%,-,-
239,The Affair of the Necklace,"$1,198,113","$471,210",39.3%,"$726,903",60.7%
240,Time Out,"$1,189,692","$448,542",37.7%,"$741,150",62.3%
241,The Emperor's New Clothes,"$1,165,545","$661,903",56.8%,"$503,642",43.2%
242,The Lady and the Duke,"$1,128,137","$331,051",29.3%,"$797,086",70.7%
243,Tosca,"$1,125,058","$69,613",6.2%,"$1,055,445",93.8%
244,Sordid Lives,"$1,111,273","$1,111,273",100%,-,-
245,American Desi,"$1,104,408","$907,835",82.2%,"$196,573",17.8%
246,Yaadein...,"$1,093,819","$1,000,229",91.4%,"$93,590",8.6%
247,The Man Who Cried,"$1,090,432","$747,092",68.5%,"$343,340",31.5%
248,When Brendan Met Trudy,"$1,069,648","$133,376",12.5%,"$936,272",87.5%
249,All Over the Guy,"$1,051,948","$1,022,324",97.2%,"$29,624",2.8%
250,Extremedays,"$1,047,553","$1,047,553",100%,-,-
251,"The Bread, My Sweet","$1,023,156","$1,023,156",100%,-,-
252,The Princess and the Warrior,"$1,004,858","$872,091",86.8%,"$132,767",13.2%
253,All Access: Front Row. Backstage. Live!,"$992,683","$992,683",100%,-,-
254,An American Rhapsody,"$970,676","$850,255",87.6%,"$120,421",12.4%
255,Faithless,"$918,033","$739,055",80.5%,"$178,978",19.5%
256,A Song for Martin,"$900,626","$27,983",3.1%,"$872,643",96.9%
257,Lajja,"$871,706","$376,000",43.1%,"$495,706",56.9%
258,Brigham City,"$852,206","$852,206",100%,-,-
259,Blow Dry,"$830,286","$637,769",76.8%,"$192,517",23.2%
260,Behind the Sun,"$805,755","$19,861",2.5%,"$785,894",97.5%
261,About Adam,"$802,951","$159,668",19.9%,"$643,283",80.1%
262,Trembling Before G-d,"$788,896","$788,896",100%,-,-
263,Fat Girl,"$765,705","$725,854",94.8%,"$39,851",5.2%
264,Texas Rangers,"$763,740","$623,374",81.6%,"$140,366",18.4%
265,Bread and Roses,"$706,876","$533,479",75.5%,"$173,397",24.5%
266,Bully,"$704,808","$480,811",68.2%,"$223,997",31.8%
267,Happy Accidents,"$688,523","$688,523",100%,-,-
268,The Caveman's Valentine,"$687,194","$687,194",100%,-,-
269,Alias Betty,"$667,087","$208,400",31.2%,"$458,687",68.8%
270,Focus,"$645,418","$645,418",100%,-,-
271,Dinner Rush,"$634,566","$634,566",100%,-,-
272,The Trumpet of the Swan,"$628,387","$102,202",16.3%,"$526,185",83.7%
273,Our Lady of the Assassins,"$624,525","$525,330",84.1%,"$99,195",15.9%
274,The Grey Zone,"$621,592","$517,872",83.3%,"$103,720",16.7%
275,The Fluffer,"$599,523","$563,373",94%,"$36,150",6%
276,My First Mister,"$595,005","$568,762",95.6%,"$26,243",4.4%
277,Forgive Me Father,"$582,787","$582,787",100%,-,-
278,Me You Them,"$560,943","$323,923",57.7%,"$237,020",42.3%
279,The Circle 2001 Re-release,"$519,354","$440,554",84.8%,"$78,800",15.2%
280,Big Eden,"$512,451","$512,451",100%,-,-
281,Karmina 2,"$508,969","$508,969",100%,-,-
282,His Secret Life,"$500,930","$215,449",43%,"$285,481",57%
283,The Invisible Circus,"$494,630","$77,578",15.7%,"$417,052",84.3%
284,Tape,"$490,475","$490,475",100%,-,-
285,In Praise of Love,"$485,003","$252,074",52%,"$232,929",48%
286,Warm Water Under a Red Bridge,"$453,754","$71,094",15.7%,"$382,660",84.3%
287,Porn Star: The Legend of Ron Jeremy,"$421,516","$421,516",100%,-,-
288,Tuvalu,"$411,678","$411,678",100%,-,-
289,Lost and Delirious,"$396,897","$307,233",77.4%,"$89,664",22.6%
290,Pauline and Paulette,"$395,175","$139,789",35.4%,"$255,386",64.6%
291,Millennium Mambo,"$393,351","$14,904",3.8%,"$378,447",96.2%
292,Born Romantic,"$376,090","$15,545",4.1%,"$360,545",95.9%
293,Keep the River on Your Right: A Modern Cannibal Tale,"$373,366","$373,366",100%,-,-
294,Nico and Dani,"$372,850","$370,562",99.4%,"$2,288",0.6%
295,Me Without You,"$369,226","$304,909",82.6%,"$64,317",17.4%
296,The Adventures of Felix,"$363,409","$363,409",100%,-,-
297,Grateful Dawg,"$360,251","$360,251",100%,-,-
298,Lumumba,"$352,296","$352,296",100%,-,-
299,Come Undone,"$326,484","$326,484",100%,-,-
300,The Weight of Water,"$321,279","$109,130",34%,"$212,149",66%
301,Bride of the Wind,"$318,823","$318,823",100%,-,-
302,Under the Sun,"$316,020","$316,020",100%,-,-
303,Russian Doll,"$313,901","$127,103",40.5%,"$186,798",59.5%
304,101 Reykjavík 2001 Re-release,"$301,882","$126,404",41.9%,"$175,478",58.1%
305,Series 7: The Contenders,"$300,086","$195,065",65%,"$105,021",35%
306,Wet Hot American Summer,"$295,206","$295,206",100%,-,-
307,The Body,"$280,777","$36,849",13.1%,"$243,928",86.9%
308,Piñero,"$275,171","$275,171",100%,-,-
309,Life and Debt,"$263,107","$263,107",100%,-,-
310,What Time Is It There?,"$258,592","$195,760",75.7%,"$62,832",24.3%
311,Happenstance,"$251,444","$251,444",100%,-,-
312,Time and Tide,"$243,978","$10,770",4.4%,"$233,208",95.6%
313,Audition,"$242,759","$131,296",54.1%,"$111,463",45.9%
314,The Independent,"$238,431","$238,431",100%,-,-
315,Chopper,"$236,185","$236,185",100%,-,-
316,Fast Food Fast Women,"$228,787","$17,131",7.5%,"$211,656",92.5%
317,Funny Girl 2001 Re-release,"$224,263","$223,306",99.6%,$957,0.4%
318,Beautiful Creatures,"$217,679","$55,835",25.7%,"$161,844",74.3%
319,Beijing Bicycle,"$215,854","$66,131",30.6%,"$149,723",69.4%
320,The Vertical Ray of the Sun,"$201,247","$110,134",54.7%,"$91,113",45.3%
321,Diamond Men,"$191,221","$191,221",100%,-,-
322,One Week,"$190,441","$190,441",100%,-,-
323,The Hidden Fortress,"$183,579","$183,579",100%,-,-
324,Burnt Money,"$183,132","$183,132",100%,-,-
325,Fulltime Killer,"$181,662","$23,124",12.7%,"$158,538",87.3%
326,Chop Suey,"$179,914","$179,914",100%,-,-
327,Maybe Baby,"$165,046","$20,501",12.4%,"$144,545",87.6%
328,Punks,"$160,083","$160,083",100%,-,-
329,Jodi No.1,"$156,415","$82,834",53%,"$73,581",47%
330,The Gleaners & I,"$155,320","$155,320",100%,-,-
331,Go Tigers!,"$151,779","$151,779",100%,-,-
332,Vampire Hunter D: Bloodlust,"$151,086","$151,086",100%,-,-
333,The Day I Became a Woman,"$149,971","$149,971",100%,-,-
334,Ayurveda: Art of Being,"$146,713","$32,267",22%,"$114,446",78%
335,Company Man,"$146,193","$146,193",100%,-,-
336,Swiri,"$135,892","$98,452",72.4%,"$37,440",27.6%
337,Baran,"$125,900","$125,900",100%,-,-
338,Dancing at the Blue Iguana,"$122,121","$67,913",55.6%,"$54,208",44.4%
339,All the Queen's Men,"$121,258","$23,662",19.5%,"$97,596",80.5%
340,Akira 2001 Re-release,"$114,009","$114,009",100%,-,-
341,Thomas in Love,"$111,523","$44,256",39.7%,"$67,267",60.3%
342,Downtown 81,"$108,058","$108,058",100%,-,-
343,The Girl,"$104,883","$104,883",100%,-,-
344,Lola,"$103,951","$103,951",100%,-,-
345,Fighter,"$99,938","$99,938",100%,-,-
346,Everybody's Famous!,"$97,353","$81,734",84%,"$15,619",16%
347,Code Unknown,"$95,242","$95,242",100%,-,-
348,Jin-Roh: The Wolf Brigade,"$94,591","$94,591",100%,-,-
349,Haiku Tunnel,"$92,723","$92,723",100%,-,-
350,Bay of Angels,"$85,840","$85,840",100%,-,-
351,ABCD,"$83,372","$83,372",100%,-,-
352,Best Man in Grass Creek,"$81,760","$81,760",100%,-,-
353,'R Xmas,"$81,476",$850,1%,"$80,626",99%
354,Songs from the Second Floor,"$80,334","$80,334",100%,-,-
355,"Sobibór, October 14, 1943, 4 p.m.","$79,728","$41,040",51.5%,"$38,688",48.5%
