Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
46,The Hobbit: The Desolation of Smaug,958366855,258366855,700000000,2013.csv,2013,0.2695907664711547,0.7304092335288452
47,The Hobbit: The Battle of the Five Armies,956019788,255119788,700900000,2014.csv,2014,0.26685617934092387,0.7331438206590761
48,The Lord of the Rings: The Two Towers,936689735,339789881,596899854,2002.csv,2002,0.36275606351125433,0.6372439364887457
49,Shrek 2,928760770,441226247,487534523,2004.csv,2004,0.47506985787093486,0.5249301421290652
50,Bohemian Rhapsody,903655259,216428042,687227217,2018.csv,2018,0.23950288546929155,0.7604971145307085
51,Harry Potter and the Goblet of Fire,895921036,290013036,605908000,2005.csv,2005,0.3237037912345659,0.6762962087654341
52,The Lord of the Rings: The Fellowship of the Ring,883726270,313364114,570362156,2001.csv,2001,0.35459409167501604,0.6454059083249839
53,Spectre,880674609,200074609,680600000,2015.csv,2015,0.22718335121207064,0.7728166487879293
54,Spider-Man: Homecoming,880166924,334201140,545965784,2017.csv,2017,0.37970199843592395,0.620298001564076
55,Harry Potter and the Chamber of Secrets,878979634,261988482,616991152,2002.csv,2002,0.2980597864455185,0.7019402135544816
56,Ice Age: Continental Drift,877244782,161321843,715922939,2012.csv,2012,0.18389604168657225,0.8161039583134277
57,The Secret Life of Pets,875457937,368384330,507073607,2016.csv,2016,0.42079043941548044,0.5792095605845196
58,Batman v Superman: Dawn of Justice,873634919,330360194,543274725,2016.csv,2016,0.3781444477724682,0.6218555522275317
59,Finding Nemo,871014978,339714978,531300000,2003.csv,2003,0.3900219704373442,0.6099780295626558
60,Wolf Warrior 2,870325439,2721100,867604339,2017.csv,2017,0.003126531614572282,0.9968734683854277
61,Star Wars: Episode III - Revenge of the Sith,868352530,380270577,488081953,2005.csv,2005,0.437921885250913,0.562078114749087
62,The Hunger Games: Catching Fire,865011746,424668047,440343699,2013.csv,2013,0.490939052520103,0.5090609474798969
63,Guardians of the Galaxy Vol. 2,863756051,389813101,473942950,2017.csv,2017,0.4512999944240043,0.5487000055759956
64,Inside Out,857611174,356461711,501149463,2015.csv,2015,0.4156449004009829,0.5843550995990171
65,Venom,856085151,213515506,642569645,2018.csv,2018,0.24940919224050412,0.7505908077594958
66,Thor: Ragnarok,853977126,315058289,538918837,2017.csv,2017,0.36893059475225337,0.6310694052477467
67,The Twilight Saga: Breaking Dawn - Part 2,829746820,292324737,537422083,2012.csv,2012,0.35230594436023266,0.6476940556397673
68,Inception,828322032,292576195,535745837,2010.csv,2010,0.35321551727118616,0.6467844827288138
69,Wonder Woman,821847012,412563408,409283604,2017.csv,2017,0.501995385973369,0.49800461402663104
70,Spider-Man,821708551,403706375,418002176,2002.csv,2002,0.4913011730359856,0.5086988269640144
71,Fantastic Beasts and Where to Find Them,814037575,234037575,580000000,2016.csv,2016,0.287502177034027,0.7124978229659731
72,Coco,807082196,209726015,597356181,2017.csv,2017,0.2598570703695711,0.7401429296304288
73,Jumanji: The Next Level,796575993,316831246,479744747,2019.csv,2019,0.3977413941471872,0.6022586058528129
74,Harry Potter and the Prisoner of Azkaban,795634069,249541069,546093000,2004.csv,2004,0.31363798852107727,0.6863620114789227
75,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,172558876,622302918,2017.csv,2017,0.21709293024593404,0.782907069754066
76,Mission: Impossible - Fallout,791115104,220159104,570956000,2018.csv,2018,0.27828959766643513,0.7217104023335649
77,Spider-Man 2,788976453,373585825,415390628,2004.csv,2004,0.47350693874256855,0.5264930612574314
78,Fast & Furious 6,788679850,238679850,550000000,2013.csv,2013,0.30263211365169274,0.6973678863483073
79,Deadpool,782612155,363070709,419541446,2016.csv,2016,0.463921633059737,0.536078366940263
80,Guardians of the Galaxy,772776600,333176600,439600000,2014.csv,2014,0.4311421955581988,0.5688578044418011
81,Fast & Furious Presents: Hobbs & Shaw,759056935,173956935,585100000,2019.csv,2019,0.22917508157671992,0.77082491842328
82,Maleficent,758410378,241410378,517000000,2014.csv,2014,0.31831101604466705,0.681688983955333
83,The Amazing Spider-Man,757930663,262030663,495900000,2012.csv,2012,0.34571851462354675,0.6542814853764533
84,The Hunger Games: Mockingjay - Part 1,755356711,337135885,418220826,2014.csv,2014,0.44632672231596815,0.5536732776840319
85,Shrek Forever After,752600867,238736787,513864080,2010.csv,2010,0.31721566831519477,0.6827843316848052
86,Madagascar 3: Europe's Most Wanted,746921274,216391482,530529792,2012.csv,2012,0.2897112313338661,0.7102887686661339
87,Suicide Squad,746846894,325100054,421746840,2016.csv,2016,0.43529678788488074,0.5647032121151193
88,X-Men: Days of Future Past,746045700,233921534,512124166,2014.csv,2014,0.3135485319465014,0.6864514680534985
89,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,291710957,453302158,2005.csv,2005,0.39155143866158654,0.6084485613384135
90,Monsters University,743559607,268492764,475066843,2013.csv,2013,0.3610911102114238,0.6389088897885762
91,The Matrix Reloaded,739412035,281576461,457835574,2003.csv,2003,0.3808113036731949,0.6191886963268052
92,Deadpool 2,734546611,318491426,416055185,2018.csv,2018,0.43358912998919275,0.5664108700108073
93,Ne Zha,726063471,3695533,722367938,2019.csv,2019,0.005089820859476899,0.9949101791405232
94,Gravity,723192705,274092705,449100000,2013.csv,2013,0.37900369169238235,0.6209963083076177
95,Captain America: The Winter Soldier,714421503,259766572,454654931,2014.csv,2014,0.3636040781376089,0.6363959218623911
96,The Twilight Saga: Breaking Dawn - Part 1,712205856,281287133,430918723,2011.csv,2011,0.394952008089077,0.6050479919109231
97,Dawn of the Planet of the Apes,710644566,208545589,502098977,2014.csv,2014,0.29345976734028806,0.7065402326597119
98,The Amazing Spider-Man 2,708982323,202853933,506128390,2014.csv,2014,0.28611987410580336,0.7138801258941967
99,It,700381748,327481748,372900000,2017.csv,2017,0.4675760739555994,0.5324239260444006
100,The Wandering Earth,699760773,5875487,693885286,2019.csv,2019,0.008396422358473644,0.9916035776415264
101,The Twilight Saga: Eclipse,698491347,300531751,397959596,2010.csv,2010,0.4302583736946422,0.5697416263053579
102,Mission: Impossible - Ghost Protocol,694713380,209397903,485315477,2011.csv,2011,0.3014162516921727,0.6985837483078273
103,The Hunger Games,694394724,408010692,286384032,2012.csv,2012,0.5875774655223331,0.4124225344776669
104,Mission: Impossible - Rogue Nation,682714267,195042377,487671890,2015.csv,2015,0.2856866868434727,0.7143133131565274
105,Doctor Strange,677718395,232641920,445076475,2016.csv,2016,0.3432722524817996,0.6567277475182004
106,Interstellar,677463813,188020017,489443796,2014.csv,2014,0.2775351441538915,0.7224648558461085
107,Man of Steel,668045518,291045518,377000000,2013.csv,2013,0.4356671965577052,0.5643328034422948
108,Kung Fu Panda 2,665692281,165249063,500443218,2011.csv,2011,0.24823641150196843,0.7517635884980316
109,The Hunger Games: Mockingjay - Part 2,658344137,281723902,376620235,2015.csv,2015,0.4279280184430351,0.5720719815569649
110,Justice League,657924295,229024295,428900000,2017.csv,2017,0.3481012887660578,0.6518987112339422
111,Big Hero 6,657827828,222527828,435300000,2014.csv,2014,0.33827670178769026,0.6617232982123098
112,Fantastic Beasts: The Crimes of Grindelwald,654855901,159555901,495300000,2018.csv,2018,0.24365039813545178,0.7563496018645482
113,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,305413918,348850097,2003.csv,2003,0.4668053125312111,0.5331946874687888
114,Star Wars: Episode II - Attack of the Clones,645256452,302191252,343065200,2002.csv,2002,0.4683273620331037,0.5316726379668963
115,Thor: The Dark World,644783140,206362140,438421000,2013.csv,2013,0.32004890822672566,0.6799510917732744
116,Moana,643331111,248757044,394574067,2016.csv,2016,0.38667031602642327,0.6133296839735767
117,Sing,634151679,270395425,363756254,2016.csv,2016,0.42638919670825315,0.5736108032917469
118,The Incredibles,631442092,261441092,370001000,2004.csv,2004,0.4140381126192012,0.5859618873807988
119,The Martian,630161890,228433663,401728227,2015.csv,2015,0.36249996488997455,0.6375000351100255
120,Fast Five,626137675,209837675,416300000,2011.csv,2011,0.33513024911014977,0.6648697508898502
121,Men in Black 3,624026776,179020854,445005922,2012.csv,2012,0.2868800841328001,0.7131199158671999
122,Iron Man 2,623933331,312433331,311500000,2010.csv,2010,0.5007479412892594,0.4992520587107407
123,Ant-Man and the Wasp,622674139,216648740,406025399,2018.csv,2018,0.3479327732285988,0.6520672267714012
124,How to Train Your Dragon 2,621537519,177002924,444534595,2014.csv,2014,0.2847823640393944,0.7152176359606056
125,Logan,619021436,226277068,392744368,2017.csv,2017,0.36553995522701094,0.6344600447729891
126,The Passion of the Christ,611486736,370274604,241212132,2004.csv,2004,0.6055317019991747,0.39446829800082533
127,Life of Pi,609016565,124987023,484029542,2012.csv,2012,0.20522762463776334,0.7947723753622367
128,Transformers: The Last Knight,605425157,130168683,475256474,2017.csv,2017,0.21500375644284633,0.7849962435571537
129,War of the Worlds,603873119,234280354,369592765,2005.csv,2005,0.38796287933459084,0.6120371206654092
130,Tangled,592461732,200821936,391639796,2010.csv,2010,0.33896186901738995,0.66103813098261
131,The Croods,587204668,187168425,400036243,2013.csv,2013,0.3187447838885368,0.6812552161114632
132,The Hangover Part II,586764305,254464305,332300000,2011.csv,2011,0.43367379854505633,0.5663262014549436
133,Ready Player One,582890172,137690172,445200000,2018.csv,2018,0.23621975221774713,0.7637802477822528
134,Operation Red Sea,579330426,1543547,577786879,2018.csv,2018,0.0026643637736368433,0.9973356362263631
135,Fifty Shades of Grey,569651467,166167230,403484237,2015.csv,2015,0.2916998193212763,0.7083001806787237
136,Kong: Skull Island,566652812,168052812,398600000,2017.csv,2017,0.29657103686975084,0.7034289631302492
137,The Smurfs,563749323,142614158,421135165,2011.csv,2011,0.2529744199799243,0.7470255800200757
138,King Kong,562363449,218080025,344283424,2005.csv,2005,0.38779196156469975,0.6122080384353003
139,Cars 2,559852396,191452396,368400000,2011.csv,2011,0.3419694143811434,0.6580305856188566
140,Puss in Boots,554987477,149260504,405726973,2011.csv,2011,0.26894391348581725,0.7310560865141827
141,The Mermaid,553810228,3232685,550577543,2016.csv,2016,0.005837170995693492,0.9941628290043065
142,The Day After Tomorrow,552639571,186740799,365898772,2004.csv,2004,0.3379070352528194,0.6620929647471806
143,Ted,549368315,218815487,330552828,2012.csv,2012,0.398303799155217,0.6016962008447829
144,American Sniper,547426372,350126372,197300000,2014.csv,2014,0.639586234621521,0.3604137653784791
145,Mission: Impossible II,546388108,215409889,330978219,2000.csv,2000,0.3942433699527004,0.6057566300472996
146,Detective Chinatown 2,544185156,1983984,542201172,2018.csv,2018,0.0036457885301083076,0.9963542114698917
147,X-Men: Apocalypse,543934105,155442489,388491616,2016.csv,2016,0.285774485495812,0.7142255145041879
148,Sherlock Holmes: A Game of Shadows,543848418,186848418,357000000,2011.csv,2011,0.3435670893134785,0.6564329106865214
149,Despicable Me,543113985,251513985,291600000,2010.csv,2010,0.4630961307321151,0.5369038692678849
150,Cinderella,542351353,201151353,341200000,2015.csv,2015,0.3708875286976559,0.6291124713023442
151,Madagascar,542063846,193595521,348468325,2005.csv,2005,0.35714523746341126,0.6428547625365887
152,World War Z,540007876,202359711,337648165,2013.csv,2013,0.37473473997997764,0.6252652600200224
153,Brave,538983207,237283207,301700000,2012.csv,2012,0.4402423005360907,0.5597576994639093
154,The Revenant,532950503,183637894,349312609,2015.csv,2015,0.34456838480552104,0.6554316151944789
155,The Meg,530243742,145443742,384800000,2018.csv,2018,0.2742960085703378,0.7257039914296621
156,Ralph Breaks the Internet,529323962,201091711,328232251,2018.csv,2018,0.3799029052835511,0.6200970947164489
157,"Monsters, Inc.",528773250,255873250,272900000,2001.csv,2001,0.48389976232723575,0.5161002376727643
158,Hotel Transylvania 3: Summer Vacation,528583774,167510016,361073758,2018.csv,2018,0.31690343941583043,0.6830965605841696
159,The Boss Baby,527965936,175003033,352962903,2017.csv,2017,0.331466522870521,0.6685334771294791
160,Dunkirk,525245546,188045546,337200000,2017.csv,2017,0.3580145465907482,0.6419854534092517
161,Godzilla,524976069,200676069,324300000,2014.csv,2014,0.38225755582013016,0.6177424441798699
162,Meet the Fockers,522657936,279261160,243396776,2004.csv,2004,0.5343096139269183,0.46569038607308166
163,How to Train Your Dragon: The Hidden World,521799505,160799505,361000000,2019.csv,2019,0.3081633912243746,0.6918366087756255
164,Kung Fu Panda 3,521170825,143528619,377642206,2016.csv,2016,0.2753964959569638,0.7246035040430362
165,Ant-Man,519311965,180202163,339109802,2015.csv,2015,0.3470017545234106,0.6529982454765894
166,Dr. Seuss' The Grinch,511595957,270620950,240975007,2018.csv,2018,0.5289739809261237,0.4710260190738763
167,Rio 2,498781117,131538435,367242682,2014.csv,2014,0.2637197570572825,0.7362802429427175
168,Troy,497409852,133378256,364031596,2004.csv,2004,0.268145585504004,0.731854414495996
169,How to Train Your Dragon,494878759,217581231,277297528,2010.csv,2010,0.4396657303289107,0.5603342696710892
170,Oz the Great and Powerful,493311825,234911825,258400000,2013.csv,2013,0.47619337930932426,0.5238066206906757
171,Clash of the Titans,493214993,163214888,330000105,2010.csv,2010,0.33092037005452507,0.6690796299454749
172,Maleficent: Mistress of Evil,491730089,113929605,377800484,2019.csv,2019,0.23169134358178353,0.7683086564182164
173,War for the Planet of the Apes,490719763,146880162,343839601,2017.csv,2017,0.2993157665019495,0.7006842334980505
174,Mr. & Mrs. Smith,487287646,186336279,300951367,2005.csv,2005,0.38239483502112015,0.6176051649788799
175,Teenage Mutant Ninja Turtles,485004754,191204754,293800000,2014.csv,2014,0.39423274189184543,0.6057672581081546
176,Bruce Almighty,484592874,242829261,241763613,2003.csv,2003,0.5010995291688916,0.49890047083110844
177,Shrek,484409218,267665011,216744207,2001.csv,2001,0.5525596975737155,0.4474403024262845
178,Rio,483866518,143619809,340246709,2011.csv,2011,0.29681700150205476,0.7031829984979453
179,Rise of the Planet of the Apes,481800873,176760185,305040688,2011.csv,2011,0.3668739408863628,0.6331260591136372
180,Charlie and the Chocolate Factory,474968763,206459076,268509687,2005.csv,2005,0.43467927173981336,0.5653207282601866
181,Hotel Transylvania 2,474800000,169700110,305099890,2015.csv,2015,0.3574138795282224,0.6425861204717775
182,San Andreas,473990832,155190832,318800000,2015.csv,2015,0.32741315131597315,0.6725868486840269
183,It Chapter Two,473093228,211593228,261500000,2019.csv,2019,0.44725482310222375,0.5527451768977762
184,Wreck-It Ralph,471222889,189422889,281800000,2012.csv,2012,0.40198151113156133,0.5980184888684387
185,The Lego Movie,468060692,257760692,210300000,2014.csv,2014,0.5506992926464331,0.44930070735356686
186,Bumblebee,467989645,127195589,340794056,2018.csv,2018,0.2717914602576303,0.7282085397423698
187,Star Trek Into Darkness,467365246,228778661,238586585,2013.csv,2013,0.4895072172311246,0.5104927827688753
188,Gladiator,460583960,187705427,272878533,2000.csv,2000,0.4075379155626696,0.5924620844373304
189,Lucy,458863600,126663600,332200000,2014.csv,2014,0.27603758502526676,0.7239624149747332
190,The Last Samurai,454627263,111127263,343500000,2003.csv,2003,0.24443598535356645,0.7555640146464335
191,Ocean's Eleven,450717150,183417150,267300000,2001.csv,2001,0.4069451317749946,0.5930548682250054
192,"My People, My Country",450064993,2356683,447708310,2019.csv,2019,0.005236317057878794,0.9947636829421213
193,Thor,449326618,181030624,268295994,2011.csv,2011,0.40289316668081304,0.597106833319187
194,Pearl Harbor,449220945,198542554,250678391,2001.csv,2001,0.44197083018914,0.55802916981086
195,La La Land,446171671,151101803,295069868,2016.csv,2016,0.33866292465708786,0.6613370753429121
196,Men in Black II,441818803,190418803,251400000,2002.csv,2002,0.43098845433248795,0.569011545667512
197,Les Misérables,441809770,148809770,293000000,2012.csv,2012,0.33681864934765926,0.6631813506523407
198,Terminator Genisys,440603537,89760956,350842581,2015.csv,2015,0.20372273134974855,0.7962772686502514
199,Warcraft,439048914,47365290,391683624,2016.csv,2016,0.10788157877097038,0.8921184212290296
200,A Star Is Born,436188866,215288866,220900000,2018.csv,2018,0.4935679995096436,0.5064320004903564
201,The Greatest Showman,434993183,174340174,260653009,2017.csv,2017,0.4007882900546513,0.5992117099453488
202,Terminator 3: Rise of the Machines,433371112,150371112,283000000,2003.csv,2003,0.34698000821060726,0.6530199917893927
203,The Mummy Returns,433013274,202019785,230993489,2001.csv,2001,0.46654409259518453,0.5334559074048155
204,Pokémon Detective Pikachu,433005346,144105346,288900000,2019.csv,2019,0.3328026947731957,0.6671973052268043
205,Die Another Day,431971116,160942139,271028977,2002.csv,2002,0.37257615854111875,0.6274238414588812
206,The Secret Life of Pets 2,430051293,158874395,271176898,2019.csv,2019,0.36943126921374003,0.63056873078626
207,Cast Away,429632142,233632142,196000000,2000.csv,2000,0.5437957712204875,0.4562042287795125
208,Rampage,428028233,101028233,327000000,2018.csv,2018,0.2360317035441912,0.7639682964558088
209,The Matrix Revolutions,427343298,139313948,288029350,2003.csv,2003,0.32600007687496246,0.6739999231250375
210,The Intouchables,426588510,10198820,416389690,2011.csv,2011,0.023907863810021513,0.9760921361899785
211,Bad Boys for Life,425514702,204417855,221096847,2020.csv,2020,0.48040139163041184,0.5195986083695882
212,Django Unchained,425368238,162805434,262562804,2012.csv,2012,0.38273998727662406,0.6172600127233759
213,The King's Speech,423999102,135453143,288545959,2010.csv,2010,0.3194656365097679,0.6805343634902321
214,The Captain,416953262,706572,416246690,2019.csv,2019,0.001694607200362903,0.9983053927996371
215,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217,104386950,311299267,2010.csv,2010,0.25111958427045944,0.7488804157295406
216,Jason Bourne,415484914,162434410,253050504,2016.csv,2016,0.39095140287091146,0.6090485971290885
217,The Wolverine,414828246,132556852,282271394,2013.csv,2013,0.3195463502743253,0.6804536497256747
218,Kingsman: The Secret Service,414351546,128261724,286089822,2015.csv,2015,0.3095480763573644,0.6904519236426355
219,Pacific Rim,411002906,101802906,309200000,2013.csv,2013,0.24769388370212642,0.7523061162978736
220,Kingsman: The Golden Circle,410902662,100234838,310667824,2017.csv,2017,0.24393815681826855,0.7560618431817314
221,The Mummy,409231607,80227895,329003712,2017.csv,2017,0.196045206742792,0.803954793257208
222,Ice Age: Collision Course,408579038,64063008,344516030,2016.csv,2016,0.15679465180981703,0.843205348190183
223,Signs,408247917,227966634,180281283,2002.csv,2002,0.5584024425040728,0.44159755749592716
224,X2: X-Men United,407711549,214949694,192761855,2003.csv,2003,0.5272102164562427,0.4727897835437573
225,Alita: Battle Angel,404852543,85710210,319142333,2019.csv,2019,0.21170722892062951,0.7882927710793705
226,Prometheus,403354469,126477084,276877385,2012.csv,2012,0.3135631156227502,0.6864368843772498
227,TRON: Legacy,400062763,172062763,228000000,2010.csv,2010,0.4300894232438224,0.5699105767561776
228,Mission: Impossible III,398479497,134029801,264449696,2005.csv,2005,0.33635306711903423,0.6636469328809658
229,Snow White and the Huntsman,396592829,155332381,241260448,2012.csv,2012,0.39166714484391246,0.6083328551560876
230,Mamma Mia! Here We Go Again,395044706,120634935,274409771,2018.csv,2018,0.3053703369967449,0.6946296630032551
231,Solo: A Star Wars Story,392924807,213767512,179157295,2018.csv,2018,0.5440417815106289,0.4559582184893712
232,The Wolf of Wall Street,392000694,116900694,275100000,2013.csv,2013,0.2982155281592435,0.7017844718407565
233,Independence Day: Resurgence,389681935,103144286,286537649,2016.csv,2016,0.26468839516514925,0.7353116048348508
234,Monster Hunt,387053506,32766,387020740,2015.csv,2015,8.465496240718718e-05,0.9999153450375928
235,Godzilla: King of the Monsters,386600138,110500138,276100000,2019.csv,2019,0.2858253971963145,0.7141746028036855
236,Home,386041607,177397510,208644097,2015.csv,2015,0.45952950869360565,0.5404704913063944
237,Cars 3,383930656,152901115,231029541,2017.csv,2017,0.3982519046356121,0.6017480953643879
238,Ice Age,383257136,176387405,206869731,2002.csv,2002,0.4602325395449388,0.5397674604550612
239,Fifty Shades Darker,381545846,114581250,266964596,2017.csv,2017,0.3003079477898444,0.6996920522101556
240,Taken 2,376141306,139854287,236287019,2012.csv,2012,0.3718131584304118,0.6281868415695883
241,G.I. Joe: Retaliation,375740705,122523060,253217645,2013.csv,2013,0.3260840743884802,0.6739159256115198
242,Spider-Man: Into the Spider-Verse,375540831,190241310,185299521,2018.csv,2018,0.5065795628491859,0.49342043715081413
243,Mad Max: Fury Road,374736354,153636354,221100000,2015.csv,2015,0.4099851865453118,0.5900148134546882
244,Shark Tale,374583879,160861908,213721971,2004.csv,2004,0.42944162047080514,0.5705583795291949
245,Once Upon a Time... in Hollywood,374343626,142502728,231840898,2019.csv,2019,0.38067357930651663,0.6193264206934834
246,What Women Want,374111707,182811707,191300000,2000.csv,2000,0.4886554031307018,0.5113445968692982
247,The Adventures of Tintin,373993951,77591831,296402120,2011.csv,2011,0.20746814431766036,0.7925318556823396
248,Penguins of Madagascar,373515621,83850911,289664710,2014.csv,2014,0.22449104210289508,0.775508957897105
249,Fifty Shades Freed,371985018,100407760,271577258,2018.csv,2018,0.26992420431298125,0.7300757956870187
250,Batman Begins,371853783,205343774,166510009,2005.csv,2005,0.552216444709398,0.44778355529060193
251,Hitch,371594210,179495555,192098655,2005.csv,2005,0.48304185094810814,0.5169581490518919
252,Captain America: The First Avenger,370569774,176654505,193915269,2011.csv,2011,0.4767105074252494,0.5232894925747505
253,Edge of Tomorrow,370541256,100206256,270335000,2014.csv,2014,0.2704321162013873,0.7295678837986127
254,Gone Girl,369330363,167767189,201563174,2014.csv,2014,0.4542469447604014,0.5457530552395986
255,Jurassic Park III,368780809,181171875,187608934,2001.csv,2001,0.49127251358679025,0.5087274864132098
256,My Big Fat Greek Wedding,368744044,241438208,127305836,2002.csv,2002,0.6547582582784713,0.34524174172152866
257,1917,368027644,159227644,208800000,2019.csv,2019,0.4326513146387449,0.567348685361255
258,Shazam!,365971656,140371656,225600000,2019.csv,2019,0.3835588185550632,0.6164411814449369
259,The Nun,365550119,117450119,248100000,2018.csv,2018,0.32129689718415877,0.6787031028158412
260,Night at the Museum: Secret of the Tomb,363204635,113746621,249458014,2014.csv,2014,0.313175025973994,0.6868249740260061
261,Ocean's Twelve,362744280,125544280,237200000,2004.csv,2004,0.34609582265501193,0.6539041773449881
262,Planet of the Apes,362211740,180011740,182200000,2001.csv,2001,0.4969793082907804,0.5030206917092196
263,The Hangover Part III,362000072,112200072,249800000,2013.csv,2013,0.3099448886297459,0.6900551113702541
264,Monster Hunt 2,361682618,706153,360976465,2018.csv,2018,0.0019524106629862981,0.9980475893370137
265,Noah,359200044,101200044,258000000,2014.csv,2014,0.28173728174710355,0.7182627182528964
266,The Karate Kid,359126022,176591618,182534404,2010.csv,2010,0.4917260437340294,0.5082739562659706
267,Your Name.,358922706,5017246,353905460,2016.csv,2016,0.013978625247520563,0.9860213747524794
268,Hotel Transylvania,358375603,148313048,210062555,2011.csv,2011,0.4138480598524448,0.5861519401475552
269,Minority Report,358372926,132072926,226300000,2002.csv,2002,0.3685348875936013,0.6314651124063987
270,The Legend of Tarzan,356700357,126643061,230057296,2016.csv,2016,0.3550404660794887,0.6449595339205113
