Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
2,The Lion King,"$1,656,943,394","$543,638,043",32.8%,"$1,113,305,351",67.2%,2019.csv,2019
3,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,2019.csv,2019
4,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%,2019.csv,2019
5,Captain Marvel,"$1,128,274,794","$426,829,839",37.8%,"$701,444,955",62.2%,2019.csv,2019
6,Joker,"$1,074,251,311","$335,451,311",31.2%,"$738,800,000",68.8%,2019.csv,2019
7,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",48%,"$558,941,706",52%,2019.csv,2019
8,Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%,2019.csv,2019
9,Aladdin,"$1,050,693,953","$355,559,216",33.8%,"$695,134,737",66.2%,2019.csv,2019
10,Jumanji: The Next Level,"$796,575,993","$316,831,246",39.8%,"$479,744,747",60.2%,2019.csv,2019
11,Fast & Furious Presents: Hobbs & Shaw,"$759,056,935","$173,956,935",22.9%,"$585,100,000",77.1%,2019.csv,2019
12,Ne Zha,"$726,063,471","$3,695,533",0.5%,"$722,367,938",99.5%,2019.csv,2019
13,The Wandering Earth,"$699,760,773","$5,875,487",0.8%,"$693,885,286",99.2%,2019.csv,2019
14,How to Train Your Dragon: The Hidden World,"$521,799,505","$160,799,505",30.8%,"$361,000,000",69.2%,2019.csv,2019
15,Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.2%,"$377,800,484",76.8%,2019.csv,2019
16,It Chapter Two,"$473,093,228","$211,593,228",44.7%,"$261,500,000",55.3%,2019.csv,2019
17,"My People, My Country","$450,064,993","$2,356,683",0.5%,"$447,708,310",99.5%,2019.csv,2019
18,Pokémon Detective Pikachu,"$433,005,346","$144,105,346",33.3%,"$288,900,000",66.7%,2019.csv,2019
19,The Secret Life of Pets 2,"$430,051,293","$158,874,395",36.9%,"$271,176,898",63.1%,2019.csv,2019
20,The Captain,"$416,953,262","$706,572",0.2%,"$416,246,690",99.8%,2019.csv,2019
21,Alita: Battle Angel,"$404,852,543","$85,710,210",21.2%,"$319,142,333",78.8%,2019.csv,2019
22,Godzilla: King of the Monsters,"$386,600,138","$110,500,138",28.6%,"$276,100,000",71.4%,2019.csv,2019
23,Once Upon a Time... in Hollywood,"$374,343,626","$142,502,728",38.1%,"$231,840,898",61.9%,2019.csv,2019
24,1917,"$368,027,644","$159,227,644",43.3%,"$208,800,000",56.7%,2019.csv,2019
25,Shazam!,"$365,971,656","$140,371,656",38.4%,"$225,600,000",61.6%,2019.csv,2019
26,Dumbo,"$353,284,621","$114,766,307",32.5%,"$238,518,314",67.5%,2019.csv,2019
27,John Wick: Chapter 3 - Parabellum,"$326,709,727","$171,015,687",52.3%,"$155,694,040",47.7%,2019.csv,2019
28,Knives Out,"$311,553,190","$165,363,234",53.1%,"$146,189,956",46.9%,2019.csv,2019
29,Terminator: Dark Fate,"$261,119,292","$62,253,077",23.8%,"$198,866,215",76.2%,2019.csv,2019
30,Us,"$255,184,580","$175,084,580",68.6%,"$80,100,000",31.4%,2019.csv,2019
31,Parasite,"$254,255,151","$53,369,749",21%,"$200,885,402",79%,2019.csv,2019
32,Men in Black: International,"$253,890,701","$80,001,807",31.5%,"$173,888,894",68.5%,2019.csv,2019
33,X-Men: Dark Phoenix,"$252,442,974","$65,845,974",26.1%,"$186,597,000",73.9%,2019.csv,2019
34,Glass,"$246,999,039","$111,048,468",45%,"$135,950,571",55%,2019.csv,2019
35,The Bravest,"$245,179,562","$290,217",0.1%,"$244,889,345",99.9%,2019.csv,2019
36,Annabelle Comes Home,"$231,252,591","$74,152,591",32.1%,"$157,100,000",67.9%,2019.csv,2019
37,Ford v Ferrari,"$225,508,210","$117,624,357",52.2%,"$107,883,853",47.8%,2019.csv,2019
38,Better Days,"$225,320,294","$1,921,657",0.9%,"$223,398,637",99.1%,2019.csv,2019
39,Little Women,"$206,006,503","$108,101,214",52.5%,"$97,905,289",47.5%,2019.csv,2019
40,The Addams Family,"$203,044,905","$100,044,905",49.3%,"$103,000,000",50.7%,2019.csv,2019
41,Rocketman,"$195,179,299","$96,368,160",49.4%,"$98,811,139",50.6%,2019.csv,2019
42,The Lego Movie 2: The Second Part,"$192,306,508","$105,806,508",55%,"$86,500,000",45%,2019.csv,2019
43,Downton Abbey,"$192,094,429","$96,854,135",50.4%,"$95,240,294",49.6%,2019.csv,2019
44,Abominable,"$189,892,513","$60,716,390",32%,"$129,176,123",68%,2019.csv,2019
45,The White Storm 2: Drug Lords,"$189,396,380","$609,461",0.3%,"$188,786,919",99.7%,2019.csv,2019
46,Weathering with You,"$186,921,054","$7,798,743",4.2%,"$179,122,311",95.8%,2019.csv,2019
47,Gemini Man,"$173,469,516","$48,546,770",28%,"$124,922,746",72%,2019.csv,2019
48,Spies in Disguise,"$171,616,764","$66,757,013",38.9%,"$104,859,751",61.1%,2019.csv,2019
49,Hustlers,"$157,563,598","$104,963,598",66.6%,"$52,600,000",33.4%,2019.csv,2019
50,The Climbers,"$156,759,167","$487,157",0.3%,"$156,272,010",99.7%,2019.csv,2019
51,Escape Room,"$155,712,077","$57,005,601",36.6%,"$98,706,476",63.4%,2019.csv,2019
52,The Angry Birds Movie 2,"$154,692,886","$41,667,116",26.9%,"$113,025,770",73.1%,2019.csv,2019
53,Yesterday,"$153,712,841","$73,286,650",47.7%,"$80,426,191",52.3%,2019.csv,2019
54,Angel Has Fallen,"$147,501,990","$69,030,436",46.8%,"$78,471,554",53.2%,2019.csv,2019
55,Ad Astra,"$132,807,427","$50,188,370",37.8%,"$82,619,057",62.2%,2019.csv,2019
56,The Upside,"$125,852,517","$108,252,517",86%,"$17,600,000",14%,2019.csv,2019
57,Midway,"$125,675,266","$56,846,802",45.2%,"$68,828,464",54.8%,2019.csv,2019
58,The Curse of la Llorona,"$123,133,739","$54,733,739",44.5%,"$68,400,000",55.5%,2019.csv,2019
59,Looking Up,"$122,994,583","$84,267",<0.1%,"$122,910,316",99.9%,2019.csv,2019
60,Zombieland: Double Tap,"$122,810,399","$73,123,082",59.5%,"$49,687,317",40.5%,2019.csv,2019
61,Extreme Job,"$121,978,657","$1,565,885",1.3%,"$120,412,772",98.7%,2019.csv,2019
62,Last Christmas,"$121,550,750","$35,150,750",28.9%,"$86,400,000",71.1%,2019.csv,2019
63,Dora and the Lost City of Gold,"$120,624,994","$60,477,943",50.1%,"$60,147,051",49.9%,2019.csv,2019
64,Wonder Park,"$119,559,110","$45,216,793",37.8%,"$74,342,317",62.2%,2019.csv,2019
65,P Storm,"$117,991,727","$326,711",0.3%,"$117,665,016",99.7%,2019.csv,2019
66,Pet Sematary,"$113,118,226","$54,724,696",48.4%,"$58,393,530",51.6%,2019.csv,2019
67,Good Boys,"$110,940,306","$83,140,306",74.9%,"$27,800,000",25.1%,2019.csv,2019
68,Scary Stories to Tell in the Dark,"$105,647,580","$68,947,075",65.3%,"$36,700,505",34.7%,2019.csv,2019
69,Line Walker 2: Invisible Spy,"$99,482,027","$296,751",0.3%,"$99,185,276",99.7%,2019.csv,2019
70,The Hustle,"$95,017,038","$35,417,038",37.3%,"$59,600,000",62.7%,2019.csv,2019
71,Crawl,"$91,542,097","$39,014,193",42.6%,"$52,527,904",57.4%,2019.csv,2019
72,Five Feet Apart,"$91,522,094","$45,729,221",50%,"$45,792,873",50%,2019.csv,2019
73,Rambo: Last Blood,"$91,490,353","$44,819,352",49%,"$46,671,001",51%,2019.csv,2019
74,Jojo Rabbit,"$90,335,025","$33,370,906",36.9%,"$56,964,119",63.1%,2019.csv,2019
75,One Piece: Stampede,"$81,562,741","$1,298,528",1.6%,"$80,264,213",98.4%,2019.csv,2019
76,A Dog's Way Home,"$80,708,134","$42,004,346",52%,"$38,703,788",48%,2019.csv,2019
77,Cold Pursuit,"$76,419,755","$32,138,862",42.1%,"$44,280,893",57.9%,2019.csv,2019
78,A Dog's Journey,"$75,602,573","$22,782,371",30.1%,"$52,820,202",69.9%,2019.csv,2019
79,A Madea Family Funeral,"$74,747,725","$73,257,045",98%,"$1,490,680",2%,2019.csv,2019
80,Cats,"$73,695,985","$27,166,770",36.9%,"$46,529,215",63.1%,2019.csv,2019
81,Charlie's Angels,"$73,279,888","$17,803,077",24.3%,"$55,476,811",75.7%,2019.csv,2019
82,Doctor Sleep,"$72,381,712","$31,581,712",43.6%,"$40,800,000",56.4%,2019.csv,2019
83,What Men Want,"$72,216,294","$54,611,903",75.6%,"$17,604,391",24.4%,2019.csv,2019
84,After,"$69,733,482","$12,138,565",17.4%,"$57,594,917",82.6%,2019.csv,2019
85,Exit,"$69,501,772","$470,699",0.7%,"$69,031,073",99.3%,2019.csv,2019
86,Playing with Fire,"$68,631,669","$44,451,847",64.8%,"$24,179,822",35.2%,2019.csv,2019
87,A Beautiful Day in the Neighborhood,"$67,760,877","$61,704,055",91.1%,"$6,056,822",8.9%,2019.csv,2019
88,War,"$67,179,155","$4,654,000",6.9%,"$62,525,155",93.1%,2019.csv,2019
89,Happy Death Day 2U,"$64,600,152","$28,148,130",43.6%,"$36,452,022",56.4%,2019.csv,2019
90,White Snake,"$61,631,776","$34,730",<0.1%,"$61,597,046",99.9%,2019.csv,2019
91,Ma,"$61,105,672","$45,896,028",75.1%,"$15,209,644",24.9%,2019.csv,2019
92,Bombshell,"$59,588,732","$31,762,808",53.3%,"$27,825,924",46.7%,2019.csv,2019
93,Ready or Not,"$57,615,777","$28,714,231",49.8%,"$28,901,546",50.2%,2019.csv,2019
94,Long Shot,"$53,873,809","$30,316,271",56.3%,"$23,557,538",43.7%,2019.csv,2019
95,Breakthrough,"$50,444,358","$40,713,082",80.7%,"$9,731,276",19.3%,2019.csv,2019
96,Just Mercy,"$50,401,502","$36,001,502",71.4%,"$14,400,000",28.6%,2019.csv,2019
97,Uncut Gems,"$50,023,780","$50,023,780",100%,-,-,2019.csv,2019
98,21 Bridges,"$49,939,757","$28,539,757",57.1%,"$21,400,000",42.9%,2019.csv,2019
99,Little,"$48,987,096","$40,860,481",83.4%,"$8,126,615",16.6%,2019.csv,2019
100,Isn't It Romantic,"$48,791,187","$48,791,187",100%,-,-,2019.csv,2019
101,Countdown,"$48,021,766","$25,621,766",53.4%,"$22,400,000",46.6%,2019.csv,2019
102,Queen & Slim,"$47,489,558","$43,808,310",92.2%,"$3,681,248",7.8%,2019.csv,2019
103,Midsommar,"$46,850,563","$27,426,361",58.5%,"$19,424,202",41.5%,2019.csv,2019
104,47 Meters Down: Uncaged,"$46,783,103","$22,260,900",47.6%,"$24,522,203",52.4%,2019.csv,2019
105,Chasing the Dragon II: Wild Wild Bunch,"$45,733,356","$196,634",0.4%,"$45,536,722",99.6%,2019.csv,2019
106,Child's Play,"$44,902,237","$29,208,403",65%,"$15,693,834",35%,2019.csv,2019
107,Hellboy,"$44,664,690","$21,903,748",49%,"$22,760,942",51%,2019.csv,2019
108,Richard Jewell,"$43,745,542","$22,345,542",51.1%,"$21,400,000",48.9%,2019.csv,2019
109,Harriet,"$43,282,155","$43,082,155",99.5%,"$200,000",0.5%,2019.csv,2019
110,Judy,"$42,077,304","$24,313,888",57.8%,"$17,763,416",42.2%,2019.csv,2019
111,Fighting with My Family,"$40,810,036","$22,958,886",56.3%,"$17,851,150",43.7%,2019.csv,2019
112,Overcomer,"$38,026,103","$34,746,945",91.4%,"$3,279,158",8.6%,2019.csv,2019
113,Pain and Glory,"$37,137,074","$4,567,338",12.3%,"$32,569,736",87.7%,2019.csv,2019
114,The Intruder,"$36,599,361","$35,419,122",96.8%,"$1,180,239",3.2%,2019.csv,2019
115,Bad Guys: The Movie,"$34,024,386","$166,972",0.5%,"$33,857,414",99.5%,2019.csv,2019
116,The Good Liar,"$33,856,058","$17,156,058",50.7%,"$16,700,000",49.3%,2019.csv,2019
117,The Art of Racing in the Rain,"$33,766,787","$26,395,642",78.2%,"$7,371,145",21.8%,2019.csv,2019
118,Bharat,"$33,185,983","$2,971,549",9%,"$30,214,434",91%,2019.csv,2019
119,Brightburn,"$32,893,421","$17,300,439",52.6%,"$15,592,982",47.4%,2019.csv,2019
120,UglyDolls,"$32,450,241","$20,150,241",62.1%,"$12,300,000",37.9%,2019.csv,2019
121,Stuber,"$32,390,945","$22,370,452",69.1%,"$10,020,493",30.9%,2019.csv,2019
122,The Kid Who Would Be King,"$32,140,970","$16,790,790",52.2%,"$15,350,180",47.8%,2019.csv,2019
123,Anna,"$31,329,947","$7,743,794",24.7%,"$23,586,153",75.3%,2019.csv,2019
124,The Wild Goose Lake,"$31,037,956","$12,573",<0.1%,"$31,025,383",100%,2019.csv,2019
125,Gully Boy,"$28,141,995","$5,566,534",19.8%,"$22,575,461",80.2%,2019.csv,2019
126,Total Dhamaal,"$26,911,995","$2,167,632",8.1%,"$24,744,363",91.9%,2019.csv,2019
127,No Manches Frida 2,"$26,493,648","$9,270,920",35%,"$17,222,728",65%,2019.csv,2019
128,Missing Link,"$26,249,469","$16,649,539",63.4%,"$9,599,930",36.6%,2019.csv,2019
129,"The Gangster, the Cop, the Devil","$25,775,371","$216,494",0.8%,"$25,558,877",99.2%,2019.csv,2019
130,Booksmart,"$24,863,452","$22,680,962",91.2%,"$2,182,490",8.8%,2019.csv,2019
131,Super 30,"$24,701,637","$2,269,878",9.2%,"$22,431,759",90.8%,2019.csv,2019
132,Portrait of a Lady on Fire,"$23,038,758","$3,759,854",16.3%,"$19,278,904",83.7%,2019.csv,2019
133,The Peanut Butter Falcon,"$22,986,166","$20,457,151",89%,"$2,529,015",11%,2019.csv,2019
134,Black and Blue,"$22,741,061","$22,055,313",97%,"$685,748",3%,2019.csv,2019
135,The Farewell,"$22,459,201","$17,695,781",78.8%,"$4,763,420",21.2%,2019.csv,2019
136,Late Night,"$22,386,555","$15,499,454",69.2%,"$6,887,101",30.8%,2019.csv,2019
137,Dark Waters,"$21,440,704","$11,136,084",51.9%,"$10,304,620",48.1%,2019.csv,2019
138,Shaft,"$21,360,215","$21,360,215",100%,-,-,2019.csv,2019
139,Hotel Mumbai,"$21,314,816","$9,651,611",45.3%,"$11,663,205",54.7%,2019.csv,2019
140,Unplanned,"$21,051,915","$19,005,109",90.3%,"$2,046,806",9.7%,2019.csv,2019
141,Always Miss You,"$19,015,465","$91,884",0.5%,"$18,923,581",99.5%,2019.csv,2019
142,Greta,"$18,653,107","$10,532,219",56.5%,"$8,120,888",43.5%,2019.csv,2019
143,Peppa Celebrates Chinese New Year,"$18,653,040","$131,225",0.7%,"$18,521,815",99.3%,2019.csv,2019
144,The Lighthouse,"$18,601,951","$10,867,104",58.4%,"$7,734,847",41.6%,2019.csv,2019
145,Black Christmas,"$18,529,730","$10,429,730",56.3%,"$8,100,000",43.7%,2019.csv,2019
146,Motherless Brooklyn,"$18,477,736","$9,277,736",50.2%,"$9,200,000",49.8%,2019.csv,2019
147,Blinded by the Light,"$18,019,198","$11,901,145",66%,"$6,118,053",34%,2019.csv,2019
148,Kalank,"$17,987,034","$2,729,336",15.2%,"$15,257,698",84.8%,2019.csv,2019
149,Fate/stay night [Heaven's Feel] II. lost butterfly,"$17,295,864","$420,595",2.4%,"$16,875,269",97.6%,2019.csv,2019
150,Nothing to Lose 2,"$16,610,713","$1,150,551",6.9%,"$15,460,162",93.1%,2019.csv,2019
151,Tazza: One-Eyed Jack,"$16,572,611","$97,655",0.6%,"$16,474,956",99.4%,2019.csv,2019
152,Poms,"$16,418,218","$13,631,124",83%,"$2,787,094",17%,2019.csv,2019
153,Little Q,"$16,360,233","$1,652",<0.1%,"$16,358,581",100%,2019.csv,2019
154,Playmobil: The Movie,"$16,349,303","$1,115,008",6.8%,"$15,234,295",93.2%,2019.csv,2019
155,The Kitchen,"$15,980,032","$12,180,032",76.2%,"$3,800,000",23.8%,2019.csv,2019
156,Miss Bala,"$15,383,580","$15,006,824",97.6%,"$376,756",2.4%,2019.csv,2019
157,Apollo 11,"$15,342,353","$9,039,891",58.9%,"$6,302,462",41.1%,2019.csv,2019
158,The Dead Don't Die,"$14,502,830","$6,563,605",45.3%,"$7,939,225",54.7%,2019.csv,2019
159,Serenity,"$14,454,622","$8,547,045",59.1%,"$5,907,577",40.9%,2019.csv,2019
160,Miss & Mrs. Cops,"$12,147,170","$104,578",0.9%,"$12,042,592",99.1%,2019.csv,2019
161,The Divine Fury,"$11,799,556","$102,982",0.9%,"$11,696,574",99.1%,2019.csv,2019
162,The Current War: Director's Cut,"$11,662,493","$5,979,540",51.3%,"$5,682,953",48.7%,2019.csv,2019
163,Bring The Soul: The Movie,"$11,393,886","$4,809,800",42.2%,"$6,584,086",57.8%,2019.csv,2019
164,Gloria Bell,"$11,145,006","$5,611,123",50.3%,"$5,533,883",49.7%,2019.csv,2019
165,"Where'd You Go, Bernadette","$10,411,096","$9,198,356",88.4%,"$1,212,740",11.6%,2019.csv,2019
166,The Best of Enemies,"$10,209,813","$10,205,616",100%,"$4,197",<0.1%,2019.csv,2019
167,BTS World Tour: Love Yourself in Seoul,"$10,109,421","$3,509,917",34.7%,"$6,599,504",65.3%,2019.csv,2019
168,The Goldfinch,"$9,932,621","$5,332,621",53.7%,"$4,600,000",46.3%,2019.csv,2019
169,Arctic Dogs,"$9,860,619","$5,801,249",58.8%,"$4,059,370",41.2%,2019.csv,2019
170,Tod@s Caen,"$9,667,157","$2,670,925",27.6%,"$6,996,232",72.4%,2019.csv,2019
171,Official Secrets,"$9,581,462","$1,988,546",20.8%,"$7,592,916",79.2%,2019.csv,2019
172,Promare,"$9,548,005","$2,313,596",24.2%,"$7,234,409",75.8%,2019.csv,2019
173,The Aftermath,"$9,215,591","$1,618,497",17.6%,"$7,597,094",82.4%,2019.csv,2019
174,Jexi,"$9,172,189","$6,546,159",71.4%,"$2,626,030",28.6%,2019.csv,2019
175,Tolkien,"$9,090,040","$4,535,154",49.9%,"$4,554,886",50.1%,2019.csv,2019
176,Captive State,"$8,772,812","$5,958,315",67.9%,"$2,814,497",32.1%,2019.csv,2019
177,Code Geass: Lelouch of the Re;Surrection 2019 Re-release,"$8,715,612","$522,805",6%,"$8,192,807",94%,2019.csv,2019
178,The Traitor,"$8,650,229","$296,027",3.4%,"$8,354,202",96.6%,2019.csv,2019
179,Sorry We Missed You,"$8,487,343","$28,273",0.3%,"$8,459,070",99.7%,2019.csv,2019
180,The Battle of Jangsari,"$7,976,445","$70,853",0.9%,"$7,905,592",99.1%,2019.csv,2019
181,Pavarotti,"$7,885,016","$4,600,249",58.3%,"$3,284,767",41.7%,2019.csv,2019
182,By the Grace of God,"$7,755,652","$67,059",0.9%,"$7,688,593",99.1%,2019.csv,2019
183,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,"$7,733,048","$34,135",0.4%,"$7,698,913",99.6%,2019.csv,2019
184,Penguins,"$7,699,452","$7,699,452",100%,-,-,2019.csv,2019
185,The White Crow,"$7,622,595","$1,828,784",24%,"$5,793,811",76%,2019.csv,2019
186,Brittany Runs a Marathon,"$7,442,106","$7,189,808",96.6%,"$252,298",3.4%,2019.csv,2019
187,Mayday Life,"$7,435,496","$85,912",1.2%,"$7,349,584",98.8%,2019.csv,2019
188,Wild Rose,"$7,123,449","$1,635,117",23%,"$5,488,332",77%,2019.csv,2019
189,The Sun Is Also a Star,"$6,750,029","$4,950,029",73.3%,"$1,800,000",26.7%,2019.csv,2019
190,National Theatre Live: Fleabag,"$6,538,919","$326,283",5%,"$6,212,636",95%,2019.csv,2019
191,Run the Race,"$6,424,420","$6,424,420",100%,-,-,2019.csv,2019
192,The Mustang,"$6,405,816","$5,043,620",78.7%,"$1,362,196",21.3%,2019.csv,2019
193,Immortal Hero,"$6,180,032","$43,007",0.7%,"$6,137,025",99.3%,2019.csv,2019
194,The Professor and the Madman,"$6,162,010",-,-,"$6,162,010",100%,2019.csv,2019
195,"Cyrano, My Love","$5,982,358","$351,019",5.9%,"$5,631,339",94.1%,2019.csv,2019
196,Furie,"$5,717,640","$594,788",10.4%,"$5,122,852",89.6%,2019.csv,2019
197,Saaho,"$5,708,522","$2,872,057",50.3%,"$2,836,465",49.7%,2019.csv,2019
198,Mission Mangal,"$5,667,057","$3,659,413",64.6%,"$2,007,644",35.4%,2019.csv,2019
199,Don't Let Go,"$5,288,011","$5,215,062",98.6%,"$72,949",1.4%,2019.csv,2019
200,The Biggest Little Farm,"$5,247,328","$4,366,949",83.2%,"$880,379",16.8%,2019.csv,2019
201,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,"$5,078,942","$1,134,786",22.3%,"$3,944,156",77.7%,2019.csv,2019
202,Menteur,"$4,697,364","$4,697,364",100%,-,-,2019.csv,2019
203,Jay and Silent Bob Reboot,"$4,691,248","$4,589,490",97.8%,"$101,758",2.2%,2019.csv,2019
204,Housefull 4,"$4,624,936","$2,109,160",45.6%,"$2,515,776",54.4%,2019.csv,2019
205,A Hidden Life,"$4,608,154","$1,730,597",37.6%,"$2,877,557",62.4%,2019.csv,2019
206,The Last Black Man in San Francisco,"$4,607,017","$4,515,719",98%,"$91,298",2%,2019.csv,2019
207,The Beach Bum,"$4,554,416","$3,502,600",76.9%,"$1,051,816",23.1%,2019.csv,2019
208,Brian Banks,"$4,376,819","$4,376,819",100%,-,-,2019.csv,2019
209,Uri: The Surgical Strike 2019 Re-release,"$4,302,454","$4,186,168",97.3%,"$116,286",2.7%,2019.csv,2019
210,Swift,"$4,299,329",-,-,"$4,299,329",100%,2019.csv,2019
211,Linda Ronstadt: The Sound of My Voice,"$4,252,657","$4,252,657",100%,-,-,2019.csv,2019
212,Savage,"$4,140,502","$74,491",1.8%,"$4,066,011",98.2%,2019.csv,2019
213,Arctic 2019 Re-release,"$4,124,015","$2,410,795",58.5%,"$1,713,220",41.5%,2019.csv,2019
214,Junglee,"$4,033,587","$295,784",7.3%,"$3,737,803",92.7%,2019.csv,2019
215,Lucifer,"$3,956,978",-,-,"$3,956,978",100%,2019.csv,2019
216,Ride Your Wave,"$3,927,015","$332,432",8.5%,"$3,594,583",91.5%,2019.csv,2019
217,Western Stars,"$3,681,681","$1,581,681",43%,"$2,100,000",57%,2019.csv,2019
218,Badla,"$3,590,894","$1,861,000",51.8%,"$1,729,894",48.2%,2019.csv,2019
219,The Oscar Nominated Short Films 2019: Documentary,"$3,538,550","$3,531,094",99.8%,"$7,456",0.2%,2019.csv,2019
220,Ek Ladki Ko Dekha Toh Aisa Laga,"$3,531,837","$1,182,636",33.5%,"$2,349,201",66.5%,2019.csv,2019
221,Faustina: Love and Mercy,"$3,498,887","$2,243,180",64.1%,"$1,255,707",35.9%,2019.csv,2019
222,Maiden,"$3,495,241","$3,168,978",90.7%,"$326,263",9.3%,2019.csv,2019
223,Bacurau,"$3,423,433","$58,115",1.7%,"$3,365,318",98.3%,2019.csv,2019
224,Midnight Diner,"$3,412,771","$18,555",0.5%,"$3,394,216",99.5%,2019.csv,2019
225,Friends 25th: The One With The Anniversary,"$3,403,406","$2,884,827",84.8%,"$518,579",15.2%,2019.csv,2019
226,The Hole in the Ground,"$3,373,474","$21,072",0.6%,"$3,352,402",99.4%,2019.csv,2019
227,Echo in the Canyon,"$3,355,324","$3,355,324",100%,-,-,2019.csv,2019
228,The Death and Life of John F. Donovan,"$3,326,364","$152,713",4.6%,"$3,173,651",95.4%,2019.csv,2019
229,Chhichhore,"$3,307,350","$2,004,400",60.6%,"$1,302,950",39.4%,2019.csv,2019
230,Honey Boy,"$3,270,077","$3,012,615",92.1%,"$257,462",7.9%,2019.csv,2019
231,Marianne & Leonard: Words of Love,"$3,260,620","$1,012,034",31%,"$2,248,586",69%,2019.csv,2019
232,Pilgrim's Progress,"$3,173,282","$1,294,596",40.8%,"$1,878,686",59.2%,2019.csv,2019
233,All Is True,"$3,019,143","$1,200,481",39.8%,"$1,818,662",60.2%,2019.csv,2019
234,The Aeronauts,"$2,907,225",-,-,"$2,907,225",100%,2019.csv,2019
235,Children of the Sea,"$2,843,206",-,-,"$2,843,206",100%,2019.csv,2019
236,Metallica & San Francisco Symphony - S&M2,"$2,705,442","$1,252,385",46.3%,"$1,453,057",53.7%,2019.csv,2019
237,After the Wedding,"$2,694,607","$1,574,258",58.4%,"$1,120,349",41.6%,2019.csv,2019
238,Diego Maradona,"$2,656,890",-,-,"$2,656,890",100%,2019.csv,2019
239,Kinky Boots: The Musical,"$2,635,571","$900,451",34.2%,"$1,735,120",65.8%,2019.csv,2019
