Rank,Release Group,Worldwide,Domestic,%,Foreign,%
51,Ride Along,"$154,468,902","$134,938,200",87.4%,"$19,530,702",12.6%
52,Planes: Fire & Rescue,"$146,965,787","$59,165,787",40.3%,"$87,800,000",59.7%
53,The Taking of Tiger Mountain,"$141,654,055","$228,984",0.2%,"$141,425,071",99.8%
54,The Admiral,"$138,342,258","$2,589,811",1.9%,"$135,752,447",98.1%
55,Let's Be Cops,"$138,224,951","$82,390,774",59.6%,"$55,834,177",40.4%
56,Annie,"$136,853,506","$85,911,262",62.8%,"$50,942,244",37.2%
57,Jack Ryan: Shadow Recruit,"$135,503,748","$50,577,412",37.3%,"$84,926,336",62.7%
58,Blended,"$127,994,610","$46,294,610",36.2%,"$81,700,000",63.8%
59,Sex Tape,"$126,069,509","$38,543,473",30.6%,"$87,526,036",69.4%
60,The Theory of Everything,"$123,726,688","$35,893,537",29%,"$87,833,151",71%
61,The Nut Job,"$120,885,527","$64,251,541",53.2%,"$56,633,986",46.8%
62,Pompeii,"$117,831,631","$23,219,748",19.7%,"$94,611,883",80.3%
63,Seventh Son,"$114,178,613","$17,223,265",15.1%,"$96,955,348",84.9%
64,The Purge: Anarchy,"$111,928,365","$71,962,800",64.3%,"$39,965,565",35.7%
65,The Boxtrolls,"$108,255,770","$50,837,305",47%,"$57,418,465",53%
66,Horrible Bosses 2,"$107,645,357","$54,445,357",50.6%,"$53,200,000",49.4%
67,The Breakup Guru,"$106,980,263","$208,959",0.2%,"$106,771,304",99.8%
68,Ouija,"$103,590,271","$50,856,010",49.1%,"$52,734,261",50.9%
69,Birdman or (The Unexpected Virtue of Ignorance),"$103,215,094","$42,340,598",41%,"$60,874,496",59%
70,Transcendence,"$103,039,258","$23,022,309",22.3%,"$80,016,949",77.7%
71,Heaven Is for Real,"$101,888,019","$91,443,253",89.7%,"$10,444,766",10.3%
72,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$100,654,149","$66,954,149",66.5%,"$33,700,000",33.5%
73,Tammy,"$100,375,432","$84,525,432",84.2%,"$15,850,000",15.8%
74,PK,"$100,370,104","$10,616,104",10.6%,"$89,754,000",89.4%
75,The Book of Life,"$99,783,556","$50,151,543",50.3%,"$49,632,013",49.7%
76,Ode to My Father,"$99,085,291","$2,300,121",2.3%,"$96,785,170",97.7%
77,Cong cong na nian,"$94,244,191","$569,280",0.6%,"$93,674,911",99.4%
78,Paranormal Activity: The Marked Ones,"$90,894,962","$32,462,372",35.7%,"$58,432,590",64.3%
79,The Hundred-Foot Journey,"$89,514,453","$54,240,821",60.6%,"$35,273,632",39.4%
80,Deliver Us from Evil,"$87,937,815","$30,577,122",34.8%,"$57,360,693",65.2%
81,A Million Ways to Die in the West,"$87,189,756","$43,139,300",49.5%,"$44,050,456",50.5%
82,Step Up All In,"$86,165,646","$14,904,384",17.3%,"$71,261,262",82.7%
83,John Wick,"$86,013,056","$43,037,835",50%,"$42,975,221",50%
84,The Judge,"$84,419,388","$47,119,388",55.8%,"$37,300,000",44.2%
85,Muppets Most Wanted,"$80,383,113","$51,183,113",63.7%,"$29,200,000",36.3%
86,If I Stay,"$78,274,843","$50,474,843",64.5%,"$27,800,000",35.5%
87,"I, Frankenstein","$76,801,179","$19,075,290",24.8%,"$57,725,889",75.2%
88,Crimson Peak,"$74,679,822","$31,090,320",41.6%,"$43,589,502",58.4%
89,Brick Mansions,"$71,416,730","$20,396,829",28.6%,"$51,019,901",71.4%
90,Son of God,"$70,829,270","$59,700,064",84.3%,"$11,129,206",15.7%
91,Think Like a Man Too,"$70,181,428","$65,182,182",92.9%,"$4,999,246",7.1%
92,Jersey Boys,"$67,647,013","$47,047,013",69.5%,"$20,600,000",30.5%
93,The Giver,"$66,980,456","$45,090,374",67.3%,"$21,890,082",32.7%
94,Selma,"$66,787,908","$52,076,908",78%,"$14,711,000",22%
95,Beijing Love Story,"$65,842,375","$428,318",0.7%,"$65,414,057",99.3%
96,Pirates,"$64,858,224","$415,775",0.6%,"$64,442,449",99.4%
97,God's Not Dead,"$64,667,874","$60,755,732",94%,"$3,912,142",6%
98,Begin Again,"$63,464,861","$16,170,632",25.5%,"$47,294,229",74.5%
99,The Walk,"$61,181,942","$10,137,502",16.6%,"$51,044,440",83.4%
100,A Walk Among the Tombstones,"$58,834,384","$26,307,600",44.7%,"$32,526,784",55.3%
101,Dolphin Tale 2,"$57,824,533","$42,024,533",72.7%,"$15,800,000",27.3%
102,St. Vincent,"$54,837,234","$44,137,712",80.5%,"$10,699,522",19.5%
103,No Good Deed,"$54,323,210","$52,543,632",96.7%,"$1,779,578",3.3%
104,3 Days to Kill,"$53,260,230","$30,697,999",57.6%,"$22,562,231",42.4%
105,Wild,"$52,501,541","$37,880,356",72.2%,"$14,621,185",27.8%
106,Magic in the Moonlight,"$51,029,361","$10,539,326",20.7%,"$40,490,035",79.3%
107,About Last Night,"$50,445,860","$48,637,684",96.4%,"$1,808,176",3.6%
108,Whiplash,"$48,982,041","$13,092,000",26.7%,"$35,890,041",73.3%
109,Chef,"$48,428,048","$31,424,003",64.9%,"$17,004,045",35.1%
110,Boyhood,"$48,137,666","$25,352,281",52.7%,"$22,785,385",47.3%
111,Coming Home,"$47,587,984","$377,607",0.8%,"$47,210,377",99.2%
112,Beauty and the Beast,"$47,430,624",-,-,"$47,430,624",100%
113,Nightcrawler,"$47,398,992","$32,381,217",68.3%,"$15,017,775",31.7%
114,Earth to Echo,"$45,681,062","$38,934,842",85.2%,"$6,746,220",14.8%
115,That Awkward Moment,"$45,640,143","$26,068,955",57.1%,"$19,571,188",42.9%
116,Wei ai zhi jian ru jia jing,"$45,386,560","$271,734",0.6%,"$45,114,826",99.4%
117,Oculus,"$44,446,287","$27,695,246",62.3%,"$16,751,041",37.7%
118,Bang Bang,"$42,045,981","$2,546,172",6.1%,"$39,499,809",93.9%
119,"As Above, So Below","$41,898,409","$21,321,100",50.9%,"$20,577,309",49.1%
120,This Is Where I Leave You,"$41,296,320","$34,296,320",83%,"$7,000,000",17%
121,The November Man,"$39,661,919","$25,018,119",63.1%,"$14,643,800",36.9%
122,Sin City: A Dame to Kill For,"$39,407,616","$13,757,804",34.9%,"$25,649,812",65.1%
123,The Gambler,"$39,280,992","$33,680,992",85.7%,"$5,600,000",14.3%
124,Samba,"$39,178,695","$151,530",0.4%,"$39,027,165",99.6%
125,Women Who Flirt,"$39,156,132","$375,495",1%,"$38,780,637",99%
126,The Best of Me,"$38,609,668","$26,766,213",69.3%,"$11,843,455",30.7%
127,Million Dollar Arm,"$38,483,455","$36,457,627",94.7%,"$2,025,828",5.3%
128,The Water Diviner,"$38,176,317","$4,196,641",11%,"$33,979,676",89%
129,But Always,"$38,039,248","$430,760",1.1%,"$37,608,488",98.9%
130,Devil's Due,"$36,921,560","$15,821,461",42.9%,"$21,100,099",57.1%
131,A Most Wanted Man,"$36,233,517","$17,237,855",47.6%,"$18,995,662",52.4%
132,Kundo: Age of the Rampant,"$35,941,291","$280,958",0.8%,"$35,660,333",99.2%
133,When Marnie Was There,"$34,949,567","$561,085",1.6%,"$34,388,482",98.4%
134,Endless Love,"$34,718,173","$23,438,250",67.5%,"$11,279,923",32.5%
135,Get on Up,"$33,448,971","$30,703,100",91.8%,"$2,745,871",8.2%
136,Tazza: The Hidden Card,"$31,278,476","$251,555",0.8%,"$31,026,921",99.2%
137,Winter's Tale,"$30,800,231","$12,600,231",40.9%,"$18,200,000",59.1%
138,Wild Tales,"$30,642,704","$3,106,530",10.1%,"$27,536,174",89.9%
139,When the Game Stands Tall,"$30,138,754","$30,127,963",100%,"$10,791",<0.1%
140,Draft Day,"$29,824,199","$28,842,237",96.7%,"$981,962",3.3%
141,Big Eyes,"$29,253,166","$14,482,031",49.5%,"$14,771,135",50.5%
142,The Divine Move,"$27,926,871","$136,707",0.5%,"$27,790,164",99.5%
143,Left Behind,"$27,405,896","$14,019,924",51.2%,"$13,385,972",48.8%
144,A Hard Day,"$26,488,847","$19,004",<0.1%,"$26,469,843",99.9%
145,Top Five,"$26,117,471","$25,317,471",96.9%,"$800,000",3.1%
146,Iceman,"$26,033,917","$7,679",<0.1%,"$26,026,238",100%
147,"Love, Rosie","$25,574,387","$20,431",<0.1%,"$25,553,956",99.9%
148,A Haunted House 2,"$25,358,716","$17,329,486",68.3%,"$8,029,230",31.7%
149,And So It Goes,"$25,312,387","$15,160,801",59.9%,"$10,151,586",40.1%
150,Kung Fu Jungle,"$24,070,765","$129,784",0.5%,"$23,940,981",99.5%
151,Fading Gigolo,"$22,706,304","$3,769,873",16.6%,"$18,936,431",83.4%
152,Mr. Turner,"$22,179,785","$3,958,500",17.8%,"$18,221,285",82.2%
153,Sabotage,"$22,126,842","$10,508,518",47.5%,"$11,618,324",52.5%
154,Legends of Oz: Dorothy's Return,"$21,755,418","$8,462,347",38.9%,"$13,293,071",61.1%
155,Bears,"$21,316,745","$17,780,194",83.4%,"$3,536,551",16.6%
156,Yves Saint Laurent,"$21,026,290","$723,593",3.4%,"$20,302,697",96.6%
157,El Niño,"$20,918,976","$1,237",<0.1%,"$20,917,739",100%
158,That Demon Within,"$20,415,934","$172,343",0.8%,"$20,243,591",99.2%
159,Labor Day,"$20,275,812","$13,371,528",65.9%,"$6,904,284",34.1%
160,Foxcatcher,"$19,206,513","$12,096,300",63%,"$7,110,213",37%
161,The Drop,"$18,658,381","$10,724,389",57.5%,"$7,933,992",42.5%
162,Cantinflas,"$17,966,873","$6,382,924",35.5%,"$11,583,949",64.5%
163,The Quiet Ones,"$17,835,162","$8,509,867",47.7%,"$9,325,295",52.3%
164,Before I Go to Sleep,"$17,669,776","$3,242,457",18.4%,"$14,427,319",81.6%
165,Addicted,"$17,534,314","$17,390,770",99.2%,"$143,544",0.8%
166,Calvary,"$16,887,741","$3,600,006",21.3%,"$13,287,735",78.7%
167,The Pyramid,"$16,861,137","$2,756,333",16.3%,"$14,104,804",83.7%
168,Pride,"$16,699,029","$1,446,634",8.7%,"$15,252,395",91.3%
169,Belle,"$16,607,575","$10,726,630",64.6%,"$5,880,945",35.4%
170,The Single Moms Club,"$16,365,451","$15,973,881",97.6%,"$391,570",2.4%
171,Vampire Academy,"$15,642,346","$7,791,979",49.8%,"$7,850,367",50.2%
172,Inherent Vice,"$14,710,975","$8,110,975",55.1%,"$6,600,000",44.9%
173,Beyond the Lights,"$14,618,727","$14,618,727",100%,-,-
174,America: Imagine the World Without Her,"$14,444,502","$14,444,502",100%,-,-
175,Island of Lemurs: Madagascar,"$14,066,534","$11,272,213",80.1%,"$2,794,321",19.9%
176,The Two Faces of January,"$13,551,951","$507,463",3.7%,"$13,044,488",96.3%
177,Mommy,"$13,156,856","$3,494,070",26.6%,"$9,662,786",73.4%
178,The Connection,"$12,062,441","$190,980",1.6%,"$11,871,461",98.4%
179,A Most Violent Year,"$12,007,070","$5,749,134",47.9%,"$6,257,936",52.1%
180,The Interview,"$11,782,625","$6,105,175",51.8%,"$5,677,450",48.2%
181,The Loft,"$11,016,443","$6,002,684",54.5%,"$5,013,759",45.5%
182,My Old Lady,"$10,606,667","$4,013,786",37.8%,"$6,592,881",62.2%
183,Moms' Night Out,"$10,536,956","$10,429,707",99%,"$107,249",1%
184,The Babadook,"$10,312,540","$964,413",9.4%,"$9,348,127",90.6%
185,Human Capital,"$9,113,941","$158,549",1.7%,"$8,955,392",98.3%
186,"Two Days, One Night","$9,016,922","$1,436,243",15.9%,"$7,580,679",84.1%
187,What If,"$8,526,288","$3,493,000",41%,"$5,033,288",59%
188,The Love Punch,"$8,366,493","$266,588",3.2%,"$8,099,905",96.8%
189,Walk of Shame,"$8,122,990","$59,209",0.7%,"$8,063,781",99.3%
190,Bad Words,"$7,804,337","$7,779,614",99.7%,"$24,723",0.3%
191,Finding Fanny,"$7,685,784","$615,691",8%,"$7,070,093",92%
192,Hippocrates: Diary of a French Doctor,"$7,555,591","$23,050",0.3%,"$7,532,541",99.7%
193,A Long Way Down,"$7,257,942","$13,347",0.2%,"$7,244,595",99.8%
194,Timbuktu,"$7,179,391","$1,076,075",15%,"$6,103,316",85%
195,Postman Pat,"$7,102,455","$1,519",<0.1%,"$7,100,936",100%
196,Jessabelle,"$6,998,359",-,-,"$6,998,359",100%
197,What We Do in the Shadows,"$6,979,001","$3,469,224",49.7%,"$3,509,777",50.3%
198,Cesar Chavez 2014 Re-release,"$6,719,925","$5,571,497",82.9%,"$1,148,428",17.1%
199,The Raid 2,"$6,566,916","$2,627,209",40%,"$3,939,707",60%
200,Hector and the Search for Happiness,"$6,337,728","$1,124,445",17.7%,"$5,213,283",82.3%
201,Tiger & Bunny: The Rising,"$6,168,617","$34,471",0.6%,"$6,134,146",99.4%
202,Darker Than Night,"$6,160,114","$870,063",14.1%,"$5,290,051",85.9%
203,The Trip to Italy,"$6,089,109","$2,880,537",47.3%,"$3,208,572",52.7%
204,Meet the Mormons,"$6,047,363","$6,047,363",100%,-,-
205,Tracks,"$5,853,509","$510,007",8.7%,"$5,343,502",91.3%
206,Phoenix,"$5,793,245","$3,184,472",55%,"$2,608,773",45%
207,The Skeleton Twins,"$5,776,640","$5,284,309",91.5%,"$492,331",8.5%
208,Under the Skin,"$5,735,963","$2,614,251",45.6%,"$3,121,712",54.4%
209,Wish I Was Here,"$5,670,776","$3,591,299",63.3%,"$2,079,477",36.7%
210,Pawn Sacrifice,"$5,578,519","$2,436,633",43.7%,"$3,141,886",56.3%
211,Dheepan,"$5,562,575","$261,819",4.7%,"$5,300,756",95.3%
212,Escobar: Paradise Lost,"$5,552,496","$195,792",3.5%,"$5,356,704",96.5%
213,The Salt of the Earth,"$5,412,189","$1,343,349",24.8%,"$4,068,840",75.2%
214,Kick,"$5,233,794","$2,472,695",47.2%,"$2,761,099",52.8%
215,Kill the Messenger,"$5,218,973","$2,450,846",47%,"$2,768,127",53%
216,The New Girlfriend,"$5,215,796","$146,754",2.8%,"$5,069,042",97.2%
217,"Buen Día, Ramón","$5,104,868","$154,356",3%,"$4,950,512",97%
218,Serena,"$5,092,129","$176,391",3.5%,"$4,915,738",96.5%
219,Dark Places,"$5,090,852","$208,588",4.1%,"$4,882,264",95.9%
220,Locke,"$5,090,608","$1,375,769",27%,"$3,714,839",73%
221,The Liberator,"$5,082,098","$113,067",2.2%,"$4,969,031",97.8%
222,Nymphomaniac: Vol. II,"$4,934,725","$327,167",6.6%,"$4,607,558",93.4%
223,[REC] 4: Apocalypse,"$4,915,757",$837,<0.1%,"$4,914,920",100%
224,Jimmy's Hall,"$4,825,184","$560,592",11.6%,"$4,264,592",88.4%
225,Predestination,"$4,824,499","$68,372",1.4%,"$4,756,127",98.6%
226,Trash,"$4,809,022","$17,484",0.4%,"$4,791,538",99.6%
227,Clouds of Sils Maria,"$4,728,401","$1,851,517",39.2%,"$2,876,884",60.8%
228,Gemma Bovery,"$4,644,525","$191,533",4.1%,"$4,452,992",95.9%
229,Dear White People,"$4,633,961","$4,404,154",95%,"$229,807",5%
230,Labyrinth of Lies,"$4,574,756","$794,452",17.4%,"$3,780,304",82.6%
231,Maps to the Stars,"$4,510,934","$350,741",7.8%,"$4,160,193",92.2%
232,Leviathan,"$4,439,481","$1,092,800",24.6%,"$3,346,681",75.4%
233,Clown,"$4,381,603","$55,007",1.3%,"$4,326,596",98.7%
234,The Grand Seduction,"$4,292,517","$3,430,018",79.9%,"$862,499",20.1%
235,Diplomacy,"$4,207,242","$230,880",5.5%,"$3,976,362",94.5%
236,Song of the Sea,"$4,190,670","$857,522",20.5%,"$3,333,148",79.5%
237,Force Majeure,"$4,094,339","$1,359,497",33.2%,"$2,734,842",66.8%
238,Horns,"$3,875,442","$173,948",4.5%,"$3,701,494",95.5%
239,The Homesman,"$3,819,421","$2,429,989",63.6%,"$1,389,432",36.4%
240,Citizenfour,"$3,780,692","$2,800,870",74.1%,"$979,822",25.9%
241,Black Sea,"$3,758,103","$1,171,559",31.2%,"$2,586,544",68.8%
242,Number One Fan,"$3,650,598","$15,549",0.4%,"$3,635,049",99.6%
243,Ghostbusters 30th Anniversary Release,"$3,580,343","$3,580,343",100%,-,-
244,2 States,"$3,558,887","$2,238,174",62.9%,"$1,320,713",37.1%
245,The Riot Club,"$3,517,925","$7,734",0.2%,"$3,510,191",99.8%
246,Veronica Mars,"$3,485,383","$3,322,127",95.3%,"$163,256",4.7%
247,Jack and the Cuckoo-Clock Heart,"$3,484,370",-,-,"$3,484,370",100%
248,Enemy,"$3,468,224","$1,008,726",29.1%,"$2,459,498",70.9%
249,Words and Pictures,"$3,438,874","$2,171,257",63.1%,"$1,267,617",36.9%
250,Next Time I'll Aim for the Heart,"$3,418,213",$815,<0.1%,"$3,417,398",100%
251,The Good Lie,"$3,396,345","$2,722,209",80.2%,"$674,136",19.8%
252,Anything for Alice,"$3,387,582","$1,092",<0.1%,"$3,386,490",100%
253,Obvious Child,"$3,325,417","$3,123,963",93.9%,"$201,454",6.1%
254,The Mystery of Happiness,"$3,216,374","$8,528",0.3%,"$3,207,846",99.7%
255,Saint Laurent,"$3,202,241","$429,477",13.4%,"$2,772,764",86.6%
256,Rosewater,"$3,171,593","$3,128,941",98.7%,"$42,652",1.3%
257,3 Hearts,"$3,077,754","$161,129",5.2%,"$2,916,625",94.8%
258,'71,"$3,062,178","$1,270,847",41.5%,"$1,791,331",58.5%
259,Starred Up,"$3,025,189","$54,915",1.8%,"$2,970,274",98.2%
260,Love Is Strange 2014 Re-release,"$2,979,739","$2,262,223",75.9%,"$717,516",24.1%
261,The Identical,"$2,840,991","$2,827,666",99.5%,"$13,325",0.5%
262,The Fluffy Movie: Unity Through Laughter,"$2,827,393","$2,827,393",100%,-,-
263,Saving Christmas,"$2,783,970","$2,783,970",100%,-,-
264,The Wonders,"$2,772,358","$73,378",2.6%,"$2,698,980",97.4%
265,The Guest,"$2,700,051","$332,890",12.3%,"$2,367,161",87.7%
266,Third Person,"$2,624,761","$1,021,398",38.9%,"$1,603,363",61.1%
267,The Signal,"$2,595,622","$600,896",23.2%,"$1,994,726",76.8%
268,In the Name of My Daughter,"$2,537,899","$277,528",10.9%,"$2,260,371",89.1%
269,The Rover,"$2,510,007","$1,114,423",44.4%,"$1,395,584",55.6%
270,Love at First Fight,"$2,446,362","$25,229",1%,"$2,421,133",99%
271,Joe,"$2,431,443","$373,375",15.4%,"$2,058,068",84.6%
272,Life of Riley,"$2,423,379","$11,616",0.5%,"$2,411,763",99.5%
273,Beloved Sisters,"$2,407,680","$54,030",2.2%,"$2,353,650",97.8%
274,Finding Vivian Maier,"$2,384,584","$1,514,782",63.5%,"$869,802",36.5%
275,Laggies,"$2,379,154","$1,066,981",44.8%,"$1,312,173",55.2%
276,The Remaining,"$2,297,261","$1,169,603",50.9%,"$1,127,658",49.1%
277,Going Away,"$2,290,889","$19,501",0.9%,"$2,271,388",99.1%
278,Anchorman 2: The Legend Continues R-Rated Extended Cut,"$2,185,255","$2,184,339",100%,$916,<0.1%
279,The Oscar Nominated Short Films 2014: Live Action,"$2,171,849","$2,171,849",100%,-,-
280,Jai Ho,"$2,122,804","$1,264,515",59.6%,"$858,289",40.4%
281,"20,000 Days on Earth","$2,105,558","$279,558",13.3%,"$1,826,000",86.7%
282,The Captive,"$2,090,612","$1,075,178",51.4%,"$1,015,434",48.6%
283,Singham Returns,"$1,974,745","$1,232,018",62.4%,"$742,727",37.6%
284,Frank,"$1,897,363","$645,186",34%,"$1,252,177",66%
285,Awake: The Life of Yogananda,"$1,891,918","$1,539,680",81.4%,"$352,238",18.6%
286,Tusk,"$1,882,074","$1,826,705",97.1%,"$55,369",2.9%
287,Girlhood,"$1,862,990","$60,765",3.3%,"$1,802,225",96.7%
288,The Dark Horse,"$1,862,114","$67,533",3.6%,"$1,794,581",96.4%
289,"Men, Women & Children","$1,705,908","$705,908",41.4%,"$1,000,000",58.6%
290,Tim's Vermeer,"$1,686,917","$1,671,377",99.1%,"$15,540",0.9%
291,The Double,"$1,662,515","$200,406",12.1%,"$1,462,109",87.9%
292,All You Need Is Love,"$1,620,654",-,-,"$1,620,654",100%
293,Lou! Journal infime,"$1,581,125",$287,<0.1%,"$1,580,838",100%
294,Persecuted,"$1,558,836","$1,558,836",100%,-,-
295,Cold in July,"$1,547,630","$427,418",27.6%,"$1,120,212",72.4%
296,Fed Up,"$1,546,229","$1,538,899",99.5%,"$7,330",0.5%
297,Shaadi Ke Side Effects,"$1,521,778","$921,277",60.5%,"$600,501",39.5%
298,A Pigeon Sat on a Branch Reflecting on Existence,"$1,472,431","$222,989",15.1%,"$1,249,442",84.9%
299,Life of Crime,"$1,456,675","$265,452",18.2%,"$1,191,223",81.8%
300,The Disappearance of Eleanor Rigby: Them,"$1,448,076","$587,774",40.6%,"$860,302",59.4%
301,The Devil's Hand,"$1,428,494","$5,746",0.4%,"$1,422,748",99.6%
302,The Zero Theorem,"$1,428,362","$257,706",18%,"$1,170,656",82%
303,Haider,"$1,404,307","$1,048,143",74.6%,"$356,164",25.4%
304,Holiday,"$1,390,054","$706,893",50.9%,"$683,161",49.1%
305,Khoobsurat,"$1,375,623","$710,508",51.6%,"$665,115",48.4%
306,The Salvation,"$1,363,964","$44,903",3.3%,"$1,319,061",96.7%
307,Gimme Shelter,"$1,362,018","$1,359,910",99.8%,"$2,108",0.2%
308,Hard to Be a God,"$1,299,035","$28,608",2.2%,"$1,270,427",97.8%
309,Black Souls,"$1,278,360","$101,088",7.9%,"$1,177,272",92.1%
310,Ek Villain,"$1,278,108","$730,530",57.2%,"$547,578",42.8%
311,Gett,"$1,259,160","$988,150",78.5%,"$271,010",21.5%
312,Anna,"$1,257,142","$4,288",0.3%,"$1,252,854",99.7%
313,The Blue Room,"$1,232,900","$254,666",20.7%,"$978,234",79.3%
314,The Cut,"$1,232,140","$28,066",2.3%,"$1,204,074",97.7%
315,Kochadaiiyaan,"$1,210,580","$817,192",67.5%,"$393,388",32.5%
316,The Way He Looks,"$1,207,841","$101,451",8.4%,"$1,106,390",91.6%
317,Noble 2014 Re-release,"$1,207,386","$347,321",28.8%,"$860,065",71.2%
318,Repentance,"$1,194,961","$1,189,612",99.6%,"$5,349",0.4%
319,Dead Snow 2,"$1,187,477","$37,473",3.2%,"$1,150,004",96.8%
320,Breathe,"$1,158,695","$42,297",3.7%,"$1,116,398",96.3%
321,Walking with the Enemy,"$1,112,592","$1,112,592",100%,-,-
322,Northern Soul,"$1,092,359","$8,886",0.8%,"$1,083,473",99.2%
323,50 to 1,"$1,064,454","$1,064,454",100%,-,-
324,The Song,"$1,009,620","$1,009,620",100%,-,-
325,Long Live Freedom 2014 Re-release,"$995,990","$48,541",4.9%,"$947,449",95.1%
326,Blue Ruin,"$993,313","$258,384",26%,"$734,929",74%
327,The Dinner,"$944,808","$7,282",0.8%,"$937,526",99.2%
328,Palo Alto,"$919,591","$767,732",83.5%,"$151,859",16.5%
329,Hasee Toh Phasee,"$916,906","$646,035",70.5%,"$270,871",29.5%
330,The Dead Lands,"$906,158","$5,240",0.6%,"$900,918",99.4%
331,You're Not You,"$894,964","$11,486",1.3%,"$883,478",98.7%
332,Particle Fever,"$869,838","$869,838",100%,-,-
333,Bird People,"$866,211","$32,111",3.7%,"$834,100",96.3%
334,Highway,"$858,783","$529,136",61.6%,"$329,647",38.4%
335,Night Moves,"$858,513","$271,755",31.7%,"$586,758",68.3%
