Rank,Release Group,Worldwide,Domestic,%,Foreign,%
71,The Last Song,"$89,137,047","$62,950,384",70.6%,"$26,186,663",29.4%
72,Dinner for Schmucks,"$86,855,739","$73,026,337",84.1%,"$13,829,402",15.9%
73,Marmaduke,"$83,761,844","$33,644,788",40.2%,"$50,117,056",59.8%
74,Piranha 3D,"$83,188,165","$25,003,155",30.1%,"$58,185,010",69.9%
75,Oceans 2010 Re-release,"$82,651,439","$19,422,319",23.5%,"$63,229,120",76.5%
76,Edge of Darkness,"$81,126,522","$43,313,890",53.4%,"$37,812,632",46.6%
77,Vampires Suck,"$80,547,866","$36,661,504",45.5%,"$43,886,362",54.5%
78,Letters to Juliet,"$79,628,830","$53,032,453",66.6%,"$26,596,377",33.4%
79,The Back-up Plan,"$77,477,008","$37,490,007",48.4%,"$39,987,001",51.6%
80,Diary of a Wimpy Kid,"$76,196,538","$64,003,625",84%,"$12,192,913",16%
81,If You Are the One 2,"$76,085,443","$426,894",0.6%,"$75,658,549",99.4%
82,Easy A,"$75,026,216","$58,401,464",77.8%,"$16,624,752",22.2%
83,Hubble 3D,"$74,249,729","$52,522,904",70.7%,"$21,726,825",29.3%
84,The Last Exorcism,"$69,432,527","$41,034,350",59.1%,"$28,398,177",40.9%
85,Takers,"$69,055,695","$57,744,720",83.6%,"$11,310,975",16.4%
86,Legion,"$67,918,658","$40,168,080",59.1%,"$27,750,578",40.9%
87,The American,"$67,876,281","$35,606,376",52.5%,"$32,269,905",47.5%
88,The Next Three Days,"$67,448,651","$21,148,651",31.4%,"$46,300,000",68.6%
89,Skyline,"$66,984,887","$21,393,620",31.9%,"$45,591,267",68.1%
90,Hot Tub Time Machine,"$64,735,752","$50,287,556",77.7%,"$14,448,196",22.3%
91,Elite Squad: The Enemy Within,"$63,618,850","$100,119",0.2%,"$63,518,731",99.8%
92,Devil,"$62,695,489","$33,601,190",53.6%,"$29,094,299",46.4%
93,127 Hours,"$60,738,797","$18,335,230",30.2%,"$42,403,567",69.8%
94,Why Did I Get Married Too?,"$60,673,972","$60,095,852",99%,"$578,120",1%
95,The Ghost Writer,"$60,331,447","$15,541,549",25.8%,"$44,789,898",74.2%
96,Secretariat,"$60,321,861","$59,713,955",99%,"$607,906",1%
97,Morning Glory,"$60,040,976","$31,011,732",51.7%,"$29,029,244",48.3%
98,Remember Me,"$56,032,889","$19,068,240",34%,"$36,964,649",66%
99,Cop Out,"$55,611,001","$44,875,481",80.7%,"$10,735,520",19.3%
100,The Crazies,"$54,806,823","$39,123,589",71.4%,"$15,683,234",28.6%
101,Little White Lies,"$53,319,615","$206,088",0.4%,"$53,113,527",99.6%
102,From Paris with Love,"$52,830,951","$24,077,427",45.6%,"$28,753,524",54.4%
103,Detective Dee: Mystery of the Phantom Flame,"$51,899,269","$459,836",0.9%,"$51,439,433",99.1%
104,Daybreakers,"$51,416,464","$30,101,577",58.5%,"$21,314,887",41.5%
105,Alpha and Omega,"$50,507,267","$25,107,267",49.7%,"$25,400,000",50.3%
106,The Switch,"$49,830,607","$27,779,426",55.7%,"$22,051,181",44.3%
107,She's Out of My League,"$49,779,728","$32,010,860",64.3%,"$17,768,868",35.7%
108,Death at a Funeral,"$49,050,886","$42,739,347",87.1%,"$6,311,539",12.9%
109,How Do You Know,"$48,668,907","$30,212,620",62.1%,"$18,456,287",37.9%
110,Charlie St. Cloud,"$48,190,704","$31,162,545",64.7%,"$17,028,159",35.3%
111,Scott Pilgrim vs. the World,"$47,664,559","$31,524,275",66.1%,"$16,140,284",33.9%
112,Avatar 2010 Special Edition,"$45,823,494","$10,741,486",23.4%,"$35,082,008",76.6%
113,Machete,"$45,491,656","$26,593,646",58.5%,"$18,898,010",41.5%
114,The Man from Nowhere,"$44,723,232","$528,175",1.2%,"$44,195,057",98.8%
115,Of Gods and Men,"$43,803,417","$3,951,596",9%,"$39,851,821",91%
116,Boy,"$43,551,154","$256,211",0.6%,"$43,294,943",99.4%
117,When in Rome,"$43,053,376","$32,680,633",75.9%,"$10,372,743",24.1%
118,My Name Is Khan,"$42,345,360","$4,018,771",9.5%,"$38,326,589",90.5%
119,Going the Distance,"$42,059,111","$17,804,299",42.3%,"$24,254,812",57.7%
120,For Colored Girls,"$37,981,984","$37,729,698",99.3%,"$252,286",0.7%
121,Furry Vengeance,"$36,288,132","$17,630,465",48.6%,"$18,657,667",51.4%
122,You Will Meet a Tall Dark Stranger,"$35,867,322","$3,248,246",9.1%,"$32,619,076",90.9%
123,Faster,"$35,626,958","$23,240,020",65.2%,"$12,386,938",34.8%
124,The Kids Are All Right,"$34,705,850","$20,811,365",60%,"$13,894,485",40%
125,Leap Year,"$32,686,500","$25,918,920",79.3%,"$6,767,580",20.7%
126,Potiche,"$32,309,881","$1,618,844",5%,"$30,691,037",95%
127,You Again,"$32,054,369","$25,702,053",80.2%,"$6,352,316",19.8%
128,The Losers,"$29,397,654","$23,591,432",80.2%,"$5,806,222",19.8%
129,Sacrifice,"$29,093,560","$29,792",0.1%,"$29,063,768",99.9%
130,Legend of the Fist: The Return of Chen Zhen,"$27,390,678","$50,433",0.2%,"$27,340,245",99.8%
131,Ramona and Beezus,"$27,293,743","$26,167,002",95.9%,"$1,126,741",4.1%
132,Splice 2010 Re-release,"$27,127,620","$17,010,170",62.7%,"$10,117,450",37.3%
133,Let Me In,"$27,093,592","$12,134,935",44.8%,"$14,958,657",55.2%
134,Fair Game,"$25,798,915","$9,540,691",37%,"$16,258,224",63%
135,Biutiful,"$25,147,786","$5,101,237",20.3%,"$20,046,549",79.7%
136,Sarah's Key,"$24,792,815","$7,693,187",31%,"$17,099,628",69%
137,Lottery Ticket,"$24,719,879","$24,719,879",100%,-,-
138,The Way Back,"$24,172,201","$2,701,859",11.2%,"$21,470,342",88.8%
139,22 Bullets,"$21,695,883",-,-,"$21,695,883",100%
140,Just Wright,"$21,584,424","$21,540,363",99.8%,"$44,061",0.2%
141,My Soul to Take,"$21,500,813","$14,744,435",68.6%,"$6,756,378",31.4%
142,Our Family Wedding,"$21,409,028","$20,255,281",94.6%,"$1,153,747",5.4%
143,71: Into the Fire,"$20,967,660","$176,638",0.8%,"$20,791,022",99.2%
144,I Love You Phillip Morris 2010 Re-release,"$20,722,843","$2,037,459",9.8%,"$18,685,384",90.2%
145,Country Strong,"$20,529,194","$20,218,921",98.5%,"$310,273",1.5%
146,Another Year,"$19,722,766","$3,205,706",16.3%,"$16,517,060",83.7%
147,Youth in Revolt,"$19,651,093","$15,281,286",77.8%,"$4,369,807",22.2%
148,Buried,"$19,439,764","$1,044,143",5.4%,"$18,395,621",94.6%
149,Norwegian Wood,"$19,115,721","$13,000",<0.1%,"$19,102,721",99.9%
150,13 Assassins,"$18,689,058","$802,778",4.3%,"$17,886,280",95.7%
151,Repo Men,"$18,409,891","$13,794,835",74.9%,"$4,615,056",25.1%
152,My Afternoons with Margueritte,"$17,107,143","$666,557",3.9%,"$16,440,586",96.1%
153,The Nutcracker in 3D,"$16,918,946","$195,459",1.2%,"$16,723,487",98.8%
154,The Last Godfather,"$16,863,629","$164,247",1%,"$16,699,382",99%
155,"Tomorrow, When the War Began","$16,533,595","$4,936",<0.1%,"$16,528,659",100%
156,Sea Rex 3D: Journey to a Prehistoric World,"$16,004,150","$6,096,582",38.1%,"$9,907,568",61.9%
157,I Hate Luv Storys,"$15,719,212","$847,993",5.4%,"$14,871,219",94.6%
158,Extraordinary Measures,"$15,134,293","$12,068,313",79.7%,"$3,065,980",20.3%
159,Ip Man 2,"$15,061,802","$205,675",1.4%,"$14,856,127",98.6%
160,The Housemaid,"$15,038,301","$157,961",1.1%,"$14,880,340",98.9%
161,Blue Valentine,"$14,892,418","$9,706,328",65.2%,"$5,186,090",34.8%
162,Somewhere,"$14,788,642","$1,785,645",12.1%,"$13,002,997",87.9%
163,Winter's Bone,"$13,796,834","$6,531,503",47.3%,"$7,265,331",52.7%
164,In a Better World,"$13,004,504","$1,008,098",7.8%,"$11,996,406",92.2%
165,I Saw the Devil,"$12,966,357","$129,210",1%,"$12,837,147",99%
166,Made in Dagenham,"$12,629,471","$1,095,369",8.7%,"$11,534,102",91.3%
167,Raajneeti,"$12,604,224","$1,514,558",12%,"$11,089,666",88%
168,Gainsbourg: A Heroic Life,"$12,220,456","$233,007",1.9%,"$11,987,449",98.1%
169,Tamara Drewe,"$12,037,973","$560,391",4.7%,"$11,477,582",95.3%
170,I Am Love,"$12,014,663","$5,005,465",41.7%,"$7,009,198",58.3%
171,Chloe,"$11,808,880","$3,075,255",26%,"$8,733,625",74%
172,"It's Not You, It's Me","$11,301,956","$1,339,911",11.9%,"$9,962,045",88.1%
173,Straw Dogs,"$11,168,712","$10,324,441",92.4%,"$844,271",7.6%
174,Conviction 2010 Re-release,"$11,104,555","$6,783,129",61.1%,"$4,321,426",38.9%
175,The Warrior's Way,"$11,103,434","$5,666,340",51%,"$5,437,094",49%
176,Last Night,"$11,027,222","$99,000",0.9%,"$10,928,222",99.1%
177,Jonah Hex,"$10,903,312","$10,547,117",96.7%,"$356,195",3.3%
178,Heartbreaker 2010 Re-release,"$10,606,371","$504,030",4.8%,"$10,102,341",95.2%
179,Get Low,"$10,522,511","$9,176,933",87.2%,"$1,345,578",12.8%
180,Stone,"$10,300,416","$1,810,078",17.6%,"$8,490,338",82.4%
181,Babies,"$10,219,306","$7,320,323",71.6%,"$2,898,983",28.4%
182,Senna,"$10,197,661","$1,612,430",15.8%,"$8,585,231",84.2%
183,Cyrus,"$9,933,873","$7,468,936",75.2%,"$2,464,937",24.8%
184,Never Let Me Go,"$9,904,795","$2,434,652",24.6%,"$7,470,143",75.4%
185,Point Blank,"$9,487,445","$708,215",7.5%,"$8,779,230",92.5%
186,Peepli (Live),"$9,460,931","$757,951",8%,"$8,702,980",92%
187,MacGruber,"$9,322,895","$8,525,600",91.4%,"$797,295",8.6%
188,Space Dogs,"$8,530,226","$14,408",0.2%,"$8,515,818",99.8%
189,The Outrage,"$8,457,741","$44,745",0.5%,"$8,412,996",99.5%
190,The Way 2010 Re-release,"$8,437,872","$4,430,765",52.5%,"$4,007,107",47.5%
191,Snabba Cash,"$8,369,756","$205,741",2.5%,"$8,164,015",97.5%
192,London Boulevard,"$8,307,227","$16,075",0.2%,"$8,291,152",99.8%
193,Inside Job,"$7,871,522","$4,312,735",54.8%,"$3,558,787",45.2%
194,Certified Copy,"$7,736,632","$1,373,975",17.8%,"$6,362,657",82.2%
195,Open Season 3,"$7,487,555",-,-,"$7,487,555",100%
196,Animal Kingdom,"$7,208,231","$1,044,039",14.5%,"$6,164,192",85.5%
197,The Joneses,"$7,031,729","$1,475,746",21%,"$5,555,983",79%
198,The Princess of Montpensier,"$6,965,201","$352,428",5.1%,"$6,612,773",94.9%
199,Centurion,"$6,890,432","$123,570",1.8%,"$6,766,862",98.2%
200,Bran Nue Dae,"$6,812,530","$113,568",1.7%,"$6,698,962",98.3%
201,The Names of Love,"$6,803,887","$514,237",7.6%,"$6,289,650",92.4%
202,It's Kind of a Funny Story,"$6,491,240","$6,363,628",98%,"$127,612",2%
203,Waiting for 'Superman',"$6,433,688","$6,417,135",99.7%,"$16,553",0.3%
204,Greenberg,"$6,344,112","$4,234,170",66.7%,"$2,109,942",33.3%
205,Four Lions,"$6,148,687","$304,616",5%,"$5,844,071",95%
206,The Illusionist,"$6,007,194","$2,231,474",37.1%,"$3,775,720",62.9%
207,Young Goethe in Love,"$5,826,565","$162,138",2.8%,"$5,664,427",97.2%
208,Mother and Child,"$5,621,971","$1,110,509",19.8%,"$4,511,462",80.2%
209,Solitary Man,"$5,615,390","$4,360,548",77.7%,"$1,254,842",22.3%
210,Exit Through the Gift Shop,"$5,386,242","$3,291,250",61.1%,"$2,094,992",38.9%
211,Trollhunter,"$5,341,098","$253,444",4.7%,"$5,087,654",95.3%
212,Tucker and Dale vs Evil,"$5,224,938","$223,838",4.3%,"$5,001,100",95.7%
213,Rabbit Hole,"$5,140,925","$2,229,058",43.4%,"$2,911,867",56.6%
214,Monsters,"$5,060,438","$237,301",4.7%,"$4,823,137",95.3%
215,Burke and Hare,"$4,791,599","$4,833",0.1%,"$4,786,766",99.9%
216,The Runaways,"$4,681,651","$3,573,673",76.3%,"$1,107,978",23.7%
217,King of Devil's Island,"$4,360,391","$7,615",0.2%,"$4,352,776",99.8%
218,Please Give,"$4,313,829","$4,033,574",93.5%,"$280,255",6.5%
219,Carancho,"$4,120,012","$85,526",2.1%,"$4,034,486",97.9%
220,The Killer Inside Me,"$4,050,140","$217,277",5.4%,"$3,832,863",94.6%
221,Rare Exports,"$4,028,971","$236,347",5.9%,"$3,792,624",94.1%
222,The Perfect Game,"$3,878,993","$1,037,071",26.7%,"$2,841,922",73.3%
223,Frozen,"$3,843,774","$246,176",6.4%,"$3,597,598",93.6%
224,To Save a Life,"$3,824,868","$3,777,210",98.8%,"$47,658",1.2%
225,Love Crime,"$3,663,918","$539,792",14.7%,"$3,124,126",85.3%
226,The Last Circus,"$3,604,598","$40,548",1.1%,"$3,564,050",98.9%
227,Catfish,"$3,533,711","$3,237,343",91.6%,"$296,368",8.4%
228,Wild Target,"$3,494,154","$108,589",3.1%,"$3,385,565",96.9%
229,3,"$3,484,446","$59,954",1.7%,"$3,424,492",98.3%
230,Hors la loi,"$3,470,487","$96,933",2.8%,"$3,373,554",97.2%
231,6 Souls,"$3,205,167",-,-,"$3,205,167",100%
232,Come Undone,"$3,101,465","$10,035",0.3%,"$3,091,430",99.7%
233,Dabangg,"$2,942,554","$1,288,549",43.8%,"$1,654,005",56.2%
234,Joan Rivers: A Piece of Work,"$2,930,687","$2,930,687",100%,-,-
235,Kites,"$2,924,751","$1,643,486",56.2%,"$1,281,265",43.8%
236,Letters to God,"$2,908,893","$2,848,578",97.9%,"$60,315",2.1%
237,Twelve,"$2,648,195","$183,920",6.9%,"$2,464,275",93.1%
238,N-Secure,"$2,595,644","$2,595,644",100%,-,-
239,Poetry,"$2,533,089","$356,149",14.1%,"$2,176,940",85.9%
240,Cairo Time,"$2,477,315","$1,603,616",64.7%,"$873,699",35.3%
241,Tees Maar Khan,"$2,454,414","$1,076,443",43.9%,"$1,377,971",56.1%
242,The Tree,"$2,450,045","$71,158",2.9%,"$2,378,887",97.1%
243,After.Life,"$2,422,634","$108,595",4.5%,"$2,314,039",95.5%
244,Twilight/The Twilight Saga: New Moon,"$2,385,237","$2,385,237",100%,-,-
245,Chico & Rita,"$2,347,919","$350,524",14.9%,"$1,997,395",85.1%
246,Housefull,"$2,340,550","$1,183,658",50.6%,"$1,156,892",49.4%
247,Ong-bak 3,"$2,340,516","$14,890",0.6%,"$2,325,626",99.4%
248,A Cat in Paris,"$2,080,634","$309,973",14.9%,"$1,770,661",85.1%
249,Golmaal 3,"$2,067,671","$1,132,192",54.8%,"$935,479",45.2%
250,Guzaarish,"$2,043,580","$1,017,335",49.8%,"$1,026,245",50.2%
251,Armadillo,"$2,018,685","$14,566",0.7%,"$2,004,119",99.3%
252,A Somewhat Gentle Man,"$1,826,459","$37,743",2.1%,"$1,788,716",97.9%
253,Mozart's Sister,"$1,824,891","$707,885",38.8%,"$1,117,006",61.2%
254,The Polar Express 2010 IMAX Release,"$1,798,274","$672,796",37.4%,"$1,125,478",62.6%
255,Ondine,"$1,777,019","$550,472",31%,"$1,226,547",69%
256,Flipped,"$1,755,212","$1,755,212",100%,-,-
257,Tekken,"$1,697,207",-,-,"$1,697,207",100%
258,All Good Things 2010 Re-release,"$1,689,646","$582,024",34.4%,"$1,107,622",65.6%
259,Anjaana Anjaani,"$1,615,888","$854,757",52.9%,"$761,131",47.1%
260,The Other Woman,"$1,451,343","$25,423",1.8%,"$1,425,920",98.2%
261,The City of Your Final Destination,"$1,444,401","$493,296",34.2%,"$951,105",65.8%
262,Restrepo,"$1,436,391","$1,330,894",92.7%,"$105,497",7.3%
263,White Material,"$1,392,434","$304,020",21.8%,"$1,088,414",78.2%
264,Raavan,"$1,356,461","$708,726",52.2%,"$647,735",47.8%
265,Ajami,"$1,331,651","$622,403",46.7%,"$709,248",53.3%
266,It's a Wonderful Afterlife,"$1,321,438",-,-,"$1,321,438",100%
267,I Spit on Your Grave,"$1,278,650","$93,051",7.3%,"$1,185,599",92.7%
268,Howl,"$1,278,390","$617,334",48.3%,"$661,056",51.7%
269,When We Leave,"$1,214,076","$19,631",1.6%,"$1,194,445",98.4%
270,Uncle Boonmee Who Can Recall His Past Lives,"$1,212,206","$184,292",15.2%,"$1,027,914",84.8%
271,Casino Jack,"$1,209,709","$1,042,959",86.2%,"$166,750",13.8%
272,When You're Strange,"$1,194,182","$246,078",20.6%,"$948,104",79.4%
273,Miral,"$1,132,843","$373,420",33%,"$759,423",67%
274,La Mission,"$1,062,941","$1,062,941",100%,-,-
275,Carlos,"$1,059,369","$145,526",13.7%,"$913,843",86.3%
276,Khatta Meetha,"$1,040,814","$541,904",52.1%,"$498,910",47.9%
277,We Are Family,"$1,031,070","$638,144",61.9%,"$392,926",38.1%
278,Leaves of Grass,"$1,018,753","$70,066",6.9%,"$948,687",93.1%
279,The Oscar Nominated Short Films 2010: Live Action,"$1,018,169","$1,018,169",100%,-,-
280,The Greatest,"$985,181","$114,766",11.6%,"$870,415",88.4%
281,The Wildest Dream,"$898,137","$898,137",100%,-,-
282,The Disappearance of Alice Creed,"$896,919","$166,980",18.6%,"$729,939",81.4%
283,Princess Kaiulani,"$883,887","$883,887",100%,-,-
284,Veer,"$861,630","$527,193",61.2%,"$334,437",38.8%
285,Chain Letter,"$855,185","$138,788",16.2%,"$716,397",83.8%
286,Heartbeats,"$843,423","$68,723",8.1%,"$774,700",91.9%
287,Break Ke Baad,"$816,988","$427,628",52.3%,"$389,360",47.7%
288,What If...,"$814,906","$814,906",100%,-,-
289,The Tillman Story,"$802,535","$802,535",100%,-,-
290,Life During Wartime,"$783,232","$281,447",35.9%,"$501,785",64.1%
291,Enter the Void,"$775,385","$336,467",43.4%,"$438,918",56.6%
292,Middle Men,"$754,301","$754,301",100%,-,-
293,Holy Rollers,"$744,266","$303,064",40.7%,"$441,202",59.3%
294,How I Ended This Summer,"$730,412","$8,733",1.2%,"$721,679",98.8%
295,Passione,"$707,460","$255,355",36.1%,"$452,105",63.9%
296,Le Quattro Volte,"$701,334","$152,530",21.7%,"$548,804",78.3%
297,No Problem,"$654,369","$285,468",43.6%,"$368,901",56.4%
298,The Extra Man,"$649,626","$453,377",69.8%,"$196,249",30.2%
299,Jack Goes Boating,"$637,479","$541,992",85%,"$95,487",15%
300,The Virginity Hit,"$636,706","$636,706",100%,-,-
301,Kaboom,"$635,162","$118,919",18.7%,"$516,243",81.3%
302,Korkoro,"$627,088","$8,242",1.3%,"$618,846",98.7%
303,I'm Still Here,"$626,396","$408,983",65.3%,"$217,413",34.7%
304,Winter in Wartime 2010 Re-release,"$623,392","$543,100",87.1%,"$80,292",12.9%
305,"Happy, Happy","$620,238","$45,154",7.3%,"$575,084",92.7%
306,Undertow,"$602,059","$108,620",18%,"$493,439",82%
307,The Human Resources Manager,"$590,567","$64,014",10.8%,"$526,553",89.2%
308,Elvis on Tour,"$587,818","$587,818",100%,-,-
309,Mesrine Part 1: Killer Instinct 2010 Re-release,"$572,790","$551,697",96.3%,"$21,093",3.7%
310,The Art of the Steal,"$544,890","$544,890",100%,-,-
311,Standing Ovation,"$531,806","$531,806",100%,-,-
312,Metropolis 2010 Re-release,"$529,603","$529,603",100%,-,-
313,Preacher's Kid,"$515,065","$515,065",100%,-,-
314,L'amour fou,"$489,126","$312,494",63.9%,"$176,632",36.1%
315,Father of My Children,"$480,834","$144,022",30%,"$336,812",70%
316,Sound of Noise,"$456,366","$24,565",5.4%,"$431,801",94.6%
317,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,"$453,993","$453,993",100%,-,-
318,Bitch Slap,"$439,587","$17,365",4%,"$422,222",96%
319,I Want Your Money,"$433,588","$433,588",100%,-,-
320,Rage,"$411,967","$5,594",1.4%,"$406,373",98.6%
321,The Square 2010 Re-release,"$406,116","$406,116",100%,-,-
322,The Tempest,"$405,861","$277,943",68.5%,"$127,918",31.5%
323,Tiny Furniture,"$391,674","$391,674",100%,-,-
324,Grease 2010 Sing-a-long,"$365,802","$365,802",100%,-,-
325,Breathless 2010 Re-release,"$363,031","$363,031",100%,-,-
326,Welcome to the Rileys,"$358,014","$158,898",44.4%,"$199,116",55.6%
327,Like Dandelion Dust,"$352,810","$352,810",100%,-,-
328,The Good Heart,"$346,851","$20,930",6%,"$325,921",94%
329,Kings of Pastry,"$336,386","$336,386",100%,-,-
330,Formosa Betrayed,"$326,034","$225,341",69.1%,"$100,693",30.9%
331,Red Hill,"$324,424","$21,087",6.5%,"$303,337",93.5%
332,A Film Unfinished,"$320,486","$320,486",100%,-,-
333,The Yellow Handkerchief,"$318,623","$318,623",100%,-,-
334,Today's Special,"$317,831","$317,831",100%,-,-
335,Alamar,"$303,574","$61,613",20.3%,"$241,961",79.7%
336,Special Treatment,"$294,483","$8,856",3%,"$285,627",97%
337,44 Inch Chest 2010 Re-release,"$294,245","$39,033",13.3%,"$255,212",86.7%
338,Karthik Calling Karthik,"$293,499","$286,409",97.6%,"$7,090",2.4%
339,Pianomania,"$292,870","$49,852",17%,"$243,018",83%
340,Mesrine Part 2: Public Enemy #1 2010 Re-release,"$292,150","$275,387",94.3%,"$16,763",5.7%
341,Waste Land,"$291,307","$187,716",64.4%,"$103,591",35.6%
342,Illégal,"$290,108",$651,0.2%,"$289,457",99.8%
343,Last Train Home,"$288,328","$288,328",100%,-,-
